Account Name,Website,Country/Region,City,LinkedIn URL,Lead Source,Lead Rating,Status,Topic,Description,Industry,Segment,Owner,Next Step,Notes
Accurate Nordic,http://www.accuratenordic.com/,Suède,Kista,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,"Accurate Nordic’s mission has always been to deliver the optimal solution for every customer. We are a manufacturer of connectors and cable assemblies, which...",Other,,,No immediate action,
ACCURISION GMBH,,Autriche,LUSTENAU,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
ACCUWATT TECHNOLOGIES,https://www.accuwatt-technologies.com/,France,AITON,https://www.linkedin.com/company/accuwatt-technologies-france,Eurosatory 2026 Catalog,B,New,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.","With 15 years of experience in energy storage in harsh environments, ACCUWATT Technologies is positioned in the high-end technical Lithium battery.",UAV / drones,Communications; Radar / sensors,,Review website and validate opportunity,
ACGB – OTS,https://www.acgb.com/,France,BAVENT,https://www.linkedin.com/company/635770/,Eurosatory 2026 Catalog,B,New,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.","Manufacturer of tailor-made, innovative & intelligent alumnium tanks. At the service of your projects: Design, Engineering & Production Made In France",Radar / sensors,Naval defense; Armored vehicles,,Review website and validate opportunity,
ACOME GROUP,http://www.acome.com/fr,France,LANNION,https://www.linkedin.com/company/acome/,Eurosatory 2026 Catalog,A,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.","ACOME is an international industrial group, innovative and recognized in high-tech cabling systems, tubes and accessories for telecommunications, automotive,...",Intelligence / ISR,Radar / sensors; Logistics / MRO,,Contact sales team and qualify need,
ACS Armoured Car Systems,http://www.acs-armoured-cars.com/,Allemagne,FRIEDBERG / DERCHING,https://www.linkedin.com/company/acs-armoured-car-systems-gmbh,Eurosatory 2026 Catalog,C,New,"Vend des sous-systèmes / composants à un OEM construisant Vehicles, Ballistic protection.","ACS Armoured Car Systems GmbH is a medium-sized German company. We are a full-service partner specialising in ballistic protection, vehicles, and system inte...",Ballistic protection,,,Keep in watchlist,
Actemium Bonnétage Automation (AC Automation),http://acautomation.fr/,France,LE RUSSEY,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
Actemium Maintenance Auxerre,https://www.actemium.fr/implantations/actemium-maintenance-auxerre,France,SAINT Bris Le Vineux,https://www.linkedin.com/company/actemium-france,Eurosatory 2026 Catalog,A,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.","Actemium Maintenance Auxerre | 215 followers on LinkedIn. Depuis plus de 10 ans, Actemium Maintenance Auxerre accompagne les industriels dans la fiabilité, la performance et la pérennité de leurs équipements de production. Implantée en Bour…",Intelligence / ISR,Air defense; UAV / drones,,Contact sales team and qualify need,
ACTIA AEROSPACE,https://aerospace.actia.com/,France,TOULOUSE CEDEX 4,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
ACTinBlack Europe SARL,http://www.actinblack.com/,Luxembourg,FOETZ,,Eurosatory 2026 Catalog,B,New,"Textiles, composites, optronique, énergie pour kits soldat.","Explore here the night vision systems of ActinBlack. We are driven to develop better, lighter and more user focused night vision systems.",Soldier systems,Land defense; Optics / optronics,,Review website and validate opportunity,
ADDEV Materials,http://addevmaterials.com/,France,PORTET-SUR-GARONNE,https://www.linkedin.com/company/addevmaterials-aerospace/,Eurosatory 2026 Catalog,A,New,"Composites, capteurs, comms, lancement pour primes spatiaux.","ADDEV Materials specializes in the manufacturing, custom packaging and distribution of high-performance materials for the Defense industry. We support land, ...",Space / satellite,Land defense; Logistics / MRO,,Contact sales team and qualify need,
ADDITESS,https://additess.com/,Cyprus,NICOSIA,https://www.linkedin.com/company/4872752/admin/feed/posts/,Eurosatory 2026 Catalog,A,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.","ADDITESS - Advanced Integrated Technology Solutions &amp; Services Ltd | 874 followers on LinkedIn. https://aditess.com/main/about-us/ | ADDITESS is a Cyprus-based Small Medium Enterprise (SME) established in 2011. ADDITESS is a scientific,…",Intelligence / ISR,Homeland security; Cybersecurity,,Contact sales team and qualify need,
ADDUP,https://addupsolutions.com/fr/,France,CEBAZAT,https://www.linkedin.com/company/addup/,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
ADNEC - UAE National Pavilion,http://www.adnecgroup.ae/,Émirats arabes unis,ABU DHABI,https://www.linkedin.com/company/adnecgroup/,Eurosatory 2026 Catalog,A,New,"Vend des sous-systèmes / composants à un OEM construisant Vehicles, Communications networks.",ADNEC Group (Abu Dhabi National Exhibitions Company) is a leading international venue development and business management organization headquartered in Abu D...,Intelligence / ISR,Land defense; Air defense,,Contact sales team and qualify need,
ADR,http://adr-alcen.com/,France,THOMERY,https://fr.linkedin.com/company/adr-alcen,Eurosatory 2026 Catalog,A,New,"Textiles, composites, optronique, énergie pour kits soldat.","ADR is a leading company in high-precision ball bearings, located near Fontainebleau. With over 100 years of experience and innovation, as well as recognized...",Soldier systems,Ammunition; Optics / optronics,,Contact sales team and qualify need,
ADS Group Limited,http://www.adsgroup.org.uk/,Royaume-Uni,HAMPSHIRE,https://www.linkedin.com/company/ads-group-ltd/,Eurosatory 2026 Catalog,A,New,"Threat intel, hardware appliances, cloud souverain, audits.","Industry Facts &amp; Figures 2025 The UK’s aerospace, defence, security and space industries are at the heart of the UK economy, building [&hellip;]",Cybersecurity,Homeland security; Logistics / MRO,,Contact sales team and qualify need,
ADV Defense,http://www.advdefense.lt/,Lituanie,Vilnius,,Eurosatory 2026 Catalog,B,New,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.",To enrich,UAV / drones,Electronic warfare; Radar / sensors,,Review website and validate opportunity,
ADVANCED DESIGN SOLUTION S.R.O.,http://www.ads-cz.com/,République tchèque,KOPRIVNICE,,Eurosatory 2026 Catalog,B,New,"Moteurs, composites, plaques balistiques, optronique, comms pour OEM blindés.",Advanced Design Solution s.r.o. is an engeneering company that provides complete solutions for driveline systems based on independent suspension axles.,Armored vehicles,,,Review website and validate opportunity,
ADVANTAGE AUSTRIA,http://www.advantageaustria.org/,Autriche,VIENNA,https://at.linkedin.com/company/advantageaustria,Eurosatory 2026 Catalog,A,New,"Radars, sonars, comms, armement, sustainment pour primes navals.",ADVANTAGE AUSTRIA is the trade promotion organisation of the Austrian Federal Economic Chamber.,Naval defense,Radar / sensors; Logistics / MRO,,Contact sales team and qualify need,
ADVANTECH,http://www.advantech.com/en-eu,France,RUEIL MALMAISON,https://www.linkedin.com/company/advantech-europe/,Eurosatory 2026 Catalog,A,New,"Threat intel, hardware appliances, cloud souverain, audits.","With more than 8600 employees worldwide and a 40 year track record the company is a global leader in innovative products, systems, services and solutions for...",Cybersecurity,Intelligence / ISR; C4ISR,,Contact sales team and qualify need,
Advent Atum Pty Ltd,http://adventatum.com/,Australie,SYDNEY,https://au.linkedin.com/company/adventatum,Eurosatory 2026 Catalog,A,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.","Advent Atum is an Australian-Ukrainian company delivers a combat-proven CsUAS ecosystem across the full kill chain: detect, command, engage, protect. Powered...",Intelligence / ISR,Air defense; UAV / drones,,Contact sales team and qualify need,
adwäisEO,https://adwaiseo.eu/en/,Luxembourg,BETZDORF,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
AEC Skyline,http://www.aec-skyline.com/,Pays-Bas,Bosschenhoofd,https://www.linkedin.com/company/aec-skyline/,Eurosatory 2026 Catalog,A,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.",AEC SKYLINE is serving various armed forces and public security organisations by delivering specialised contract air support while at the same time providing...,Intelligence / ISR,Air defense; Naval defense,,Contact sales team and qualify need,
Aedus Space Ltd.,https://aedusspace.com/aedusspace.html,Hongrie,Budapest,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,"Az eszköz a 8000 Székesfehérvár Repkény u. 7/A Hrsz: 8134/150 telephelyen került üzembehelyezésre. A fejlesztés hatására a lézervágott termékek minősége javul, a méretbeli választékunkat tudjuk bővíteni, az új gép lehetővé teszi a léze A pr…",Other,,,No immediate action,
Aeffe srl Keelcrab,https://www.keelcrab.com/,Italie,BULGAROGRASSO,https://www.linkedin.com/company/15155176/admin/dashboard/,Eurosatory 2026 Catalog,A,New,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.","Droni e robot subacquei di nuova generazione per la manutenzione di scafi di yacht, piscine, vasche industriali, acquari, ambienti sommersi in genere.",UAV / drones,Naval defense; Cybersecurity,,Contact sales team and qualify need,
AERIADES,http://aeriades.fr/,France,LUNÉVILLE,,Eurosatory 2026 Catalog,B,New,"Pièces de rechange, calibration, certification pour acteurs MRO.","Aerospace, space and defense cluster in the Grand Est region, bringing together nearly 100 members: industries, industrial services, innovation partners and ...",Logistics / MRO,Engineering services,,Review website and validate opportunity,
AERIX SYSTEMS,https://www.aerix-systems.com/,France,MÉRIGNAC,https://fr.linkedin.com/company/aerix-systems,Eurosatory 2026 Catalog,C,New,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.",Aerix Systems développe un nouveau type de propulsion omnidirectionnelle permettant la création de drones.,Radar / sensors,UAV / drones; Engineering services,,Keep in watchlist,
AERO CONCEPT ENGINEERING,https://www.aero-ce.com/,France,MAGNY COURS,https://www.linkedin.com/company/aero-concept-engineering/,Eurosatory 2026 Catalog,B,New,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.",Découvrez nos moyens techniques et humains au service de vos essais en soufflerie et de vos études aérodynamiques numériques,UAV / drones,Radar / sensors,,Review website and validate opportunity,
AEROCENTRE,https://aero-centre.fr/,France,DEOLS,https://www.linkedin.com/company/aerocentre/,Eurosatory 2026 Catalog,B,New,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.",Email Protection You are unable to access this email address aero-centre.fr The website from which you got to this page is protected by Cloudflare. Cloudflare Ray ID: 9f3451ddd8312a11 • Your IP: Click to reveal 213.41.12.82 • Performance & …,UAV / drones,Logistics / MRO; Industrial subcontracting,,Review website and validate opportunity,
AEROGLOW INTERNATIONAL,https://www.aeroglowinternational.com/,Royaume-Uni,SALISBURY,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
Aeron Systems Pvt Ltd,https://aeronsystems.com/,Inde,PUNE,https://www.linkedin.com/company/aeron-systems-pvt.-ltd./about/,Eurosatory 2026 Catalog,B,New,"Sous-systèmes, composites, certification pour primes terrestres.",Aeron Systems - a leading provider of navigation systems and IoT devices to a global clientele.,Land defense,UAV / drones; Armored vehicles,,Review website and validate opportunity,
AERONAUTICS GROUP,http://www.aeronautics-sys.com/,Israël,YAVNE,https://www.linkedin.com/company/aeronautics/,Eurosatory 2026 Catalog,C,New,Sub-system / payload pour OEM drones tactiques.,"Established in 1997, Aeronautics is a world leader in designing, developing and manufacturing Unmanned Aerial Systems (UAS) for the global defense & HLS mark...",UAV / drones,,,Keep in watchlist,
AEROSPACE & DEFENCE,https://www.acmh.fr/,France,HONFLEUR,,Eurosatory 2026 Catalog,B,New,"Composites, capteurs, comms, lancement pour primes spatiaux.","ACMH - Ateliers de Construction Mécanique de Honfleur conçoit et fabrique des conteneurs pour l'armée, l'industrie, le spatial et l'humanitaire.",Space / satellite,Naval defense; Intelligence / ISR,,Review website and validate opportunity,
AEROVIRONMENT (AV),http://www.avinc.com/,États-Unis,SIMI VALLEY,https://www.linkedin.com/company/aerovironment/,Eurosatory 2026 Catalog,B,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.","AV is a defense technology leader delivering integrated capabilities across air, land, sea, space, and cyber. The Company develops autonomous systems, loiter...",Intelligence / ISR,Land defense; Air defense,,Review website and validate opportunity,
AERTEC,https://www.aertecsolutions.com/,Espagne,MALAGA,https://es.linkedin.com/company/aertec,Eurosatory 2026 Catalog,B,New,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.","AERTEC ofrece ingeniería aeronáutica internacional, consultoría aeroespacial y soluciones para aeropuertos, industria y defensa.",UAV / drones,,,Review website and validate opportunity,
Africa Global Logistics,https://www.aglgroup.com/,France,PUTEAUX,https://www.linkedin.com/company/africagloballogistics/,Eurosatory 2026 Catalog,B,New,"Moteurs, composites, plaques balistiques, optronique, comms pour OEM blindés.","AGL est le partenaire logistique multimodal de référence en Afrique. Présent dans 50 pays dont 47 sur le continent africain, AGL propose des solutions globales en logistique, transport maritime et portuaire, ainsi qu’en logistique ferroviai…",Armored vehicles,Naval defense; Logistics / MRO,,Review website and validate opportunity,
AFRY,,Suède,SOLNA,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
AG Optics,https://www.agoptics.co.kr/en,Corée du Sud,CHEONAN,,Eurosatory 2026 Catalog,B,New,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.",Product Component Camera Lens HUD Head Lamp Logo Lamp Defense Product Camera Module (Vutronix) Technology Technology Intellectual Property Rights About US,Radar / sensors,Homeland security; Optics / optronics,,Review website and validate opportunity,
AGC Plasma Technology Solutions,http://www.agc-plasma.com/,Belgique,GOSSELIES,https://www.linkedin.com/showcase/agc-plasma-technology-solutions/?viewAsMember=true,Eurosatory 2026 Catalog,B,New,"Textiles, composites, optronique, énergie pour kits soldat.","Partner with AGC for advanced vacuum coating. Benefit from our thin film expertise, demo labs, and turn-key solutions globally.",Soldier systems,Optics / optronics; Radar / sensors,,Review website and validate opportunity,
Agence Wallonne à l'Exportation et aux I.E.,https://www.awex.be/,Belgique,BRUXELLES,https://www.linkedin.com/company/wallonia-export-investment-agency/,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
AGENCIJA ALAN,https://www.aalan.hr/,Croatie,ZAGREB,https://hr.linkedin.com/company/agencija-alan-d.o.o.,Eurosatory 2026 Catalog,A,New,"Sous-systèmes, composites, certification pour primes terrestres.",Agency Alan Ltd. is a state owned company focused on the import and export of weapons and special military equipment,Land defense,Naval defense; Homeland security,,Contact sales team and qualify need,
AGM GLOBAL VISION,http://www.agmglobalvision.eu/,Bulgarie,SOFIA,,Eurosatory 2026 Catalog,A,New,"Textiles, composites, optronique, énergie pour kits soldat.","AGM Global Vision is a leading provider of night vision and thermal imaging solutions, backed by 65+ years of combined industry experience. The company offer...",Soldier systems,Homeland security; Optics / optronics,,Contact sales team and qualify need,
AGM ORTHOPAEDICS LLC,http://www.trust-tq.com/,Lettonie,RIGA,https://www.linkedin.com/company/agm-orthopaedics-trust-tq/,Eurosatory 2026 Catalog,B,New,"Vend des sous-systèmes / composants à un OEM construisant Software / Platforms, Soldier equipment.",Meet TRUST® Tactical Tourniquet — a next-generation hemorrhage control system engineered in Latvia for real-world tactical use. Patented ratchet tightening d...,Electronic warfare,Naval defense; Soldier systems,,Review website and validate opportunity,
AGON ELECTRONICS,http://www.agon-electronics.com/,France,LABEGE,https://www.linkedin.com/company/ag%C3%B4n-electronics/,Eurosatory 2026 Catalog,B,New,"Matières premières, outils coupants, services qualité pour sous-traitants.","AGÔN Electronics is a leading industrial group and a premier EMS & ODM partner for the Defense, Aerospace, and Security sectors. We provide end-to-end expert...",Industrial subcontracting,Logistics / MRO; Engineering services,,Review website and validate opportunity,
AGORAMECA,https://www.agorameca.com/,France,VINEUIL,,Eurosatory 2026 Catalog,B,New,"Matières premières, outils coupants, services qualité pour sous-traitants.","Forte d'une équipe de 26 spécialistes passionnés, dynamiques et réactifs, Agorameca dispose d'un atelier spacieux de plus de 1 800 m², opérationnel 24h/24 pour répondre aux demandes urgentes de sa clientèle diversifiée. L'équipe d'Agorameca…",Industrial subcontracting,Cybersecurity; Logistics / MRO,,Review website and validate opportunity,
AGORIA VZW/ASBL,https://www.agoria.be/en/themes/businessgroups/safety-security-defence/belgian-security-defence-industry-defence-technologies-bsdidt/belgian-security-defence-industry-bsdi,Belgique,BRUXELLES,https://www.linkedin.com/company/agoria,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,Defence within Agoria: Stronger together in military technologyYour technology can contribute to tomorrow’s security.,Other,,,No immediate action,
AGP S GLASS EUROPE GMBH,http://www.agpglass.com/,Allemagne,DÜSSELDORF,,Eurosatory 2026 Catalog,B,New,"Vend des sous-systèmes / composants à un OEM construisant Vehicles, Engines / propulsion.","Veja Mais AGP sGlass Veículos de polícia e Motim - SHIELDS Veja Mais AGP sGlass Veículos militares Veja Mais AGP sGlass Navios de guerra e patrulhas marítimas com blindagem EMI Veja Mais AGP sGlass Veículos civis, OEM e Retrofit Veja Mais A…",Armored vehicles,Naval defense; Homeland security,,Review website and validate opportunity,
AI Verse,http://www.ai-verse.com/,France,BIOT,https://www.linkedin.com/company/ai-verse/,Eurosatory 2026 Catalog,A,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.","AI Verse generates synthetic training images for computer vision models used in defense, drones, CUAS and autonomous platforms. We built a procedural engine ...",Intelligence / ISR,UAV / drones; Counter-UAV,,Contact sales team and qualify need,
AIAD & M.O.D ITALIAN INDUSTRIES,http://www.aiad.it/,Italie,ROME,https://www.linkedin.com/company/aiad-federazione-aziende-italiane-aerospazio-difesa-sicurezza/about/,Eurosatory 2026 Catalog,C,New,"Vend des sous-systèmes / composants à un OEM construisant Communications networks, Software / Platforms.","AIAD è la Federazione, membro di Confindustria, in rappresentanza delle Aziende Italiane per l’Aerospazio, la Difesa e la Sicurezza.Accoglie nel proprio ambito la quasi totalità delle imprese nazionali, ad alta tecnologia, che esercitano at…",Dual-use technology,,,Keep in watchlist,
AICOX SOLUCIONES,https://www.aicox.com/,Espagne,Madrid,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
AIM Infrarot-Module,https://www.aim-ir.com/,Allemagne,HEILBRONN,,Eurosatory 2026 Catalog,B,New,Vend des sous-systèmes / composants à un OEM construisant Satellites / Space.,"MEHR Weitere News © Sentinel-3, Image: ESA/ATG medialab Industrie Weltraum Sicherheit Das Unternehmen Die AIM Infrarot-Module GmbH entwickelt, fertigt und vertreibt hochwertige Infrarotdetektoren und Wärmebildgeräte sowie Stirling-Kühlmasch…",Space / satellite,Dual-use technology,,Review website and validate opportunity,
Aimpoint AB,http://www.aimpoint.com/,Suède,MALMÖ,,Eurosatory 2026 Catalog,D,New,Qualifier l'activité avant tout pitch ciblé.,To enrich,Other,,,No immediate action,
