exhibitor_id,company_name,country,website,pavilion,activity_1liner,products,services,target_buyers,technologies,why_target,completeness_score,data_source_strength
35,ACTIA AEROSPACE,France,https://aerospace.actia.com/,,(données publiques trop pauvres pour qualification fiable),,,,,À qualifier — données publiques insuffisantes pour trancher.,0,very_low
36,ACTinBlack Europe SARL,Luxembourg,http://www.actinblack.com/,,Explore here the night vision systems of ActinBlack.,,MCO / MRO,MoD / Armées,,Prestataire potentiel de MCO / MRO pour mod / armées — partenaire pour les marchés publics et industriels associés.,65,medium
37,ADDEV Materials,France,http://addevmaterials.com/,,"Conçoit et fabrique des emballages techniques durcis pour la défense, l'aéronautique et l'armement.",caisses techniques durcies · conteneurs étanches · emballages personnalisés mil-spec,MCO / MRO · ingénierie / conseil,"MoD / Armées, Primes défense, Industriels défense, Export / international",conteneurs étanches,"Fournisseur d'emballage technique — partenaire pour la projection de matériel sensible (avionique, optronique, munitions).",100,high
38,ADDITESS,Cyprus,https://additess.com/,,"Conseille en stratégie, intelligence économique et opérations pour la défense et l'industrie.",conseil stratégique défense · due-diligence M&A défense · études de marché défense · intelligence économique,ingénierie / conseil · formation · distribution / représentation · certification / tests,"Industriels défense, MoD / Armées, Sécurité civile, Export / international",,"Cabinet conseil défense — partenaire pour la transformation, due-diligence M&A et études de marché.",85,high
39,ADDUP,France,https://addupsolutions.com/fr/,,(données publiques trop pauvres pour qualification fiable),,,,,À qualifier — données publiques insuffisantes pour trancher.,0,very_low
40,ADNEC - UAE National Pavilion,United Arab Emirates,http://www.adnecgroup.ae/,,Représente le tissu industriel défense et facilite la coopération internationale.,représentation des industriels défense · accompagnement export PME défense · mise en relation B2B défense · montage de projets EDF / Horizon Europe,,"Industriels défense, Export / international, MoD / Armées, Primes défense",,"Porte d'entrée institutionnelle vers le tissu industriel défense — utile pour identifier sous-traitants, partenaires R&D et opportunités EDF.",85,high
41,ADR,France,http://adr-alcen.com/,,"Société leading company in high-precision ball bearings, located near Fontainebleau.",pièces usinées de précision · ensembles micro-mécaniques · composants CNC complexes,intégration de systèmes,"Primes défense, Industriels défense, Export / international",mécanique de précision · usinage 5 axes,"Sous-traitant éligible EN9100/AQAP — fournisseur potentiel pour pièces série courte des programmes défense (Scorpion, Eurofighter, MGCS).",100,high
42,ADS Group Limited,United-Kingdom,http://www.adsgroup.org.uk/,,Représente le tissu industriel défense et facilite la coopération internationale.,représentation des industriels défense · accompagnement export PME défense · mise en relation B2B défense · montage de projets EDF / Horizon Europe,ingénierie / conseil · formation · distribution / représentation,"Industriels défense, Export / international, Primes défense, MoD / Armées",,"Porte d'entrée institutionnelle vers le tissu industriel défense — utile pour identifier sous-traitants, partenaires R&D et opportunités EDF.",85,high
43,ADV Defense,Lithuania,http://www.advdefense.lt/,,"Conçoit et fabrique des drones aériens, logiciels métier défense, robots terrestres (UGV).",drones aériens · logiciels métier défense · robots terrestres (UGV) · équipement logistique · moteurs / propulsion,,MoD / Armées,cloud · robotique / autonomie · GNSS / GPS · 5G / sans-fil,"Acheteur potentiel de nacelles EO/IR, batteries Li-ion, liaison de données chiffrée pour ses lignes drones — également compétiteur sur le segment drones.",100,medium
44,ADVANCED DESIGN SOLUTION S.R.O.,Czech Republic,http://www.ads-cz.com/,,"Conçoit des systèmes de transmission, essieux et suspensions pour véhicules militaires.",suspensions hydropneumatiques · amortisseurs blindés · ensembles de suspension chars,,"Primes défense, MoD / Armées, Export / international",amortisseurs militaires,Fournisseur Tier-1 suspensions chars — partenaire pour primes véhicules blindés.,100,medium
45,ADVANTAGE AUSTRIA,Austria,http://www.advantageaustria.org/,,Représente le tissu industriel défense et facilite la coopération internationale.,représentation des industriels défense · accompagnement export PME défense · mise en relation B2B défense · montage de projets EDF / Horizon Europe,ingénierie / conseil · distribution / représentation,"Industriels défense, Export / international, Primes défense, Sécurité civile",,"Porte d'entrée institutionnelle vers le tissu industriel défense — utile pour identifier sous-traitants, partenaires R&D et opportunités EDF.",85,high
46,ADVANTECH,France,http://www.advantech.com/en-eu,,"With more than 8600 employees worldwide and a 40 year track record the company is a global leader in innovative products, systems, servic…",,ingénierie / conseil · services cloud / données · distribution / représentation · certification / tests · intégration de systèmes,"Sécurité civile, Primes défense, Export / international",vision par ordinateur · edge computing · cloud · 5G / sans-fil · IA / vision,Prestataire potentiel de ingénierie / conseil pour sécurité civile — partenaire pour les marchés publics et industriels associés.,80,high
47,Advent Atum Pty Ltd,Australia,http://adventatum.com/,,"Advent Atum is an Australian-Ukrainian company delivers a combat-proven CsUAS ecosystem across the full kill chain: detect, command, enga…",,MCO / MRO · intégration de systèmes,"Sécurité civile, Export / international",cloud · robotique / autonomie · IA / vision · edge computing · RF / micro-ondes,Prestataire potentiel de MCO / MRO pour sécurité civile — partenaire pour les marchés publics et industriels associés.,80,medium
48,adwäisEO,Luxembourg,https://adwaiseo.eu/en/,,(données publiques trop pauvres pour qualification fiable),,,,,À qualifier — données publiques insuffisantes pour trancher.,15,medium
49,AEC Skyline,Netherlands,http://www.aec-skyline.com/,,Serving various armed forces and public security organisations by delivering specialised contract air support while at the same time prov…,,certification / tests · intégration de systèmes,"MoD / Armées, Sécurité civile, Primes défense",cloud · 5G / sans-fil · Lidar / Laser · robotique / autonomie · cybersécurité,Prestataire potentiel de certification / tests pour mod / armées — partenaire pour les marchés publics et industriels associés.,80,high
50,Aedus Space Ltd.,Hungary,https://aedusspace.com/aedusspace.html,,(données publiques trop pauvres pour qualification fiable),,,,,À qualifier — données publiques insuffisantes pour trancher.,15,low
51,Aeffe srl Keelcrab,Italy,https://www.keelcrab.com/,,"Conçoit et fabrique des drones aériens, robots terrestres (UGV), équipement logistique.",drones aériens · robots terrestres (UGV) · équipement logistique · moteurs / propulsion · réseaux de communication,certification / tests,"MoD / Armées, Export / international",robotique / autonomie,"Acheteur potentiel de nacelles EO/IR, batteries Li-ion, liaison de données chiffrée pour ses lignes drones — également compétiteur sur le segment drones.",100,medium
52,AERIADES,France,http://aeriades.fr/,,Représente le tissu industriel défense et facilite la coopération internationale.,représentation des industriels défense · accompagnement export PME défense · mise en relation B2B défense · montage de projets EDF / Horizon Europe,formation · ingénierie / conseil · certification / tests,"Industriels défense, Export / international, Primes défense",,"Porte d'entrée institutionnelle vers le tissu industriel défense — utile pour identifier sous-traitants, partenaires R&D et opportunités EDF.",85,medium
53,AERIX SYSTEMS,France,https://www.aerix-systems.com/,,Aerix Systems développe un nouveau type de propulsion omnidirectionnelle permettant la création de drones.,,,"Primes défense, Sécurité civile",robotique / autonomie,Cible commerciale sur le segment primes défense — à qualifier sur portefeuille produit / services.,80,high
54,AERO CONCEPT ENGINEERING,France,https://www.aero-ce.com/,,"Qu’ils soient terrestres ou volants, blindés ou non, optimisez vos véhicules militaires sur les aspects thermique et aérodynamique.",véhicules militaires · drones aériens · pièces mécaniques · logiciels métier défense · batteries / sources d'énergie,formation · certification / tests · ingénierie / conseil,MoD / Armées,simulation · Lidar / Laser,"Acheteur potentiel de motorisation, blindage, optronique et électronique embarquée pour ses lignes véhicules — également compétiteur sur le segment véhicules.",100,medium
55,AEROCENTRE,France,https://aero-centre.fr/,,"Aérocentre, pôle d’excellence régional créé afin de développer et pérenniser la filière aéronautique en région Centre-Val de Loire.",équipement logistique · moteurs / propulsion · logiciels métier défense · drones aériens · pièces mécaniques,ingénierie / conseil · formation · certification / tests · sous-traitance,Primes défense,moteurs aéronautiques · cloud · IA / vision · vol autonome,"Sous-traitant éligible pour les primes défense (mécanique, composants, ingénierie) — fournisseur potentiel pour pièces série courte certifiées EN9100/AQAP.",100,high
56,AEROGLOW INTERNATIONAL,United-Kingdom,https://www.aeroglowinternational.com/,,(données publiques trop pauvres pour qualification fiable),,,,,À qualifier — données publiques insuffisantes pour trancher.,0,very_low
57,Aeron Systems Pvt Ltd,India,https://aeronsystems.com/,,Aeron Systems - a leading provider of navigation systems and IoT devices to a global clientele.,,services cloud / données · certification / tests,"MoD / Armées, Primes défense, Sécurité civile",cloud · 5G / sans-fil · RF / micro-ondes · GNSS / GPS · robotique / autonomie,Prestataire potentiel de services cloud / données pour mod / armées — partenaire pour les marchés publics et industriels associés.,80,high
58,AERONAUTICS GROUP,Israel,http://www.aeronautics-sys.com/,,"Leader sur designing, developing and manufacturing Unmanned Aerial Systems (UAS) for the global defense & HLS mark.",,,,,À qualifier — données publiques insuffisantes pour trancher.,40,medium
59,AEROSPACE & DEFENCE,France,https://www.acmh.fr/,,"ACMH - Ateliers de Construction Mécanique de Honfleur conçoit et fabrique des conteneurs pour l'armée, l'industrie, le spatial et l'human…",,ingénierie / conseil · certification / tests,Primes défense,Lidar / Laser,Prestataire potentiel de ingénierie / conseil pour primes défense — partenaire pour les marchés publics et industriels associés.,80,medium
60,AEROVIRONMENT (AV),USA,http://www.avinc.com/,,"A defense technology leader delivering integrated capabilities across air, land, sea, space, and cyber.",,intégration de systèmes,"MoD / Armées, Sécurité civile",RF / micro-ondes · Lidar / Laser · robotique / autonomie · cloud · 5G / sans-fil,Prestataire potentiel de intégration de systèmes pour mod / armées — partenaire pour les marchés publics et industriels associés.,80,high
61,AERTEC,Spain,https://www.aertecsolutions.com/,,"Conçoit et fabrique des drones aériens, capteurs embarqués, équipement logistique pour forces de sécurité.",drones aériens · capteurs embarqués · équipement logistique · moteurs / propulsion,certification / tests · intégration de systèmes,"Sécurité civile, Primes défense",simulation,"Acheteur potentiel de nacelles EO/IR, batteries Li-ion, liaison de données chiffrée pour ses lignes drones — également compétiteur sur le segment drones.",100,high
62,Africa Global Logistics,France,https://www.aglgroup.com/,,"Fournit des services logistiques mondiaux (transit, fret, supply chain) pour la défense et l'industrie.",transit douanier export défense · fret aérien et maritime militaire · logistique projet OPEX · stockage sécurisé matériel sensible,formation · support opérationnel,"Industriels défense, Export / international, Sécurité civile",,Logisticien spécialisé export défense — partenaire pour structurer les flux logistiques OPEX et grands contrats internationaux.,85,high
63,AFRY,Sweden,,,(données publiques trop pauvres pour qualification fiable),,,,,À qualifier — données publiques insuffisantes pour trancher.,0,very_low
64,AG Optics,South-Korea,https://www.agoptics.co.kr/en,,"Distribue des systèmes optroniques, viseurs optiques, modules d'imagerie thermique pour forces de sécurité.",systèmes optroniques · viseurs optiques · modules d'imagerie thermique · capteurs embarqués · modules de détection multi-capteurs · réseaux de capteurs distribués,distribution / représentation,Sécurité civile,cryptographie,Canal de distribution sur le marché sécurité civile — partenaire pour la représentation de marques étrangères et l'accès au tissu local.,100,medium
65,AGC Plasma Technology Solutions,Belgium,http://www.agc-plasma.com/,,"In industrial vacuum coating equipment, offering innovative solutions for depositing functional nanolayers on div.",,ingénierie / conseil · intégration de systèmes,Export / international,Lidar / Laser · robotique / autonomie · RF / micro-ondes,Prestataire potentiel de ingénierie / conseil pour export / international — partenaire pour les marchés publics et industriels associés.,80,medium
66,Agence Wallonne à l'Exportation et aux I.E.,Belgium,https://www.awex.be/,,"Grâce à son expertise, son réseau international et ses services sur mesure, l’AWEX permet aux entrepreneurs de saisir des opportunités mo…",,,,,À qualifier — données publiques insuffisantes pour trancher.,40,low
67,AGENCIJA ALAN,Croatia,https://www.aalan.hr/,,Is a state owned company focused on the import and export of weapons and special military equipment.,,distribution / représentation,"MoD / Armées, Sécurité civile, Export / international",imagerie thermique,Canal de distribution sur le marché mod / armées — partenaire pour la représentation de marques étrangères et l'accès au tissu local.,80,high
68,AGM GLOBAL VISION,Bulgaria,http://www.agmglobalvision.eu/,,Conçoit et fabrique des détecteurs infrarouges et systèmes d'imagerie thermique.,détecteurs IR refroidis · machines Stirling · ROIC / circuits de lecture,certification / tests,"Primes défense, Industriels défense, Export / international, Sécurité civile",imagerie infrarouge · microélectronique durcie,"Compétiteur sur détecteurs IR refroidis (vs Lynred, AIM, Sofradir) — fournisseur Tier-1 pour primes optronique.",100,high
69,AGM ORTHOPAEDICS LLC,Latvia,http://www.trust-tq.com/,,"Conçoit et fabrique des logiciels métier défense, équipement du fantassin, robots terrestres (UGV) pour forces de sécurité.",logiciels métier défense · équipement du fantassin · robots terrestres (UGV) · équipement logistique · batteries / sources d'énergie,intégration de systèmes,Sécurité civile,cloud · robotique / autonomie,"Acheteur potentiel de infrastructure cloud souveraine, IA, cyber pour ses lignes logiciels — également compétiteur sur le segment logiciels.",100,high
70,AGON ELECTRONICS,France,http://www.agon-electronics.com/,,"AGÔN Electronics is a leading industrial group and a premier EMS & ODM partner for the Defense, Aerospace, and Security sectors.",plateforme cybersécurité OT · outils d'audit ICS / SCADA,MCO / MRO · sous-traitance · certification / tests · ingénierie / conseil,"Sécurité civile, MoD / Armées, Industriels défense, Primes défense",cybersécurité OT / ICS,Niche cybersécurité industrielle — partenaire pour la protection d'infrastructures critiques et bases militaires.,80,high
71,AGORAMECA,France,https://www.agorameca.com/,,Experts en mécanique de précision dans le Loir-et-Cher (41).,pièces usinées de précision · ensembles micro-mécaniques · composants CNC complexes,certification / tests · ingénierie / conseil · sous-traitance,"Primes défense, Industriels défense",mécanique de précision · usinage 5 axes,"Sous-traitant éligible EN9100/AQAP — fournisseur potentiel pour pièces série courte des programmes défense (Scorpion, Eurofighter, MGCS).",100,medium
72,AGORIA VZW/ASBL,Belgium,https://www.agoria.be/en/themes/businessgroups/safety-security-defence/belgian-security-defence-industry-defence-technologies-bsdidt/belgian-security-defence-industry-bsdi,,Représente le tissu industriel défense et facilite la coopération internationale.,représentation des industriels défense · accompagnement export PME défense · mise en relation B2B défense · montage de projets EDF / Horizon Europe,,"Industriels défense, Export / international",,"Porte d'entrée institutionnelle vers le tissu industriel défense — utile pour identifier sous-traitants, partenaires R&D et opportunités EDF.",85,medium
73,AGP S GLASS EUROPE GMBH,Germany,http://www.agpglass.com/,,"Conçoit et fabrique des véhicules militaires, véhicules tactiques, ensembles spéciaux pour véhicules militaires pour forces de sécurité.",véhicules militaires · véhicules tactiques · ensembles spéciaux pour véhicules militaires · moteurs militaires · ensembles de propulsion · groupes électrogènes mobiles · moteurs / propulsion,certification / tests,Sécurité civile,matériaux composites,"Acheteur potentiel de motorisation, blindage, optronique et électronique embarquée pour ses lignes véhicules — également compétiteur sur le segment véhicules.",100,medium
74,AI Verse,France,http://www.ai-verse.com/,,"Conçoit et fabrique des véhicules militaires, drones aériens, systèmes anti-drone pour primes défense.",véhicules militaires · drones aériens · systèmes anti-drone · capteurs embarqués · équipement logistique,,Primes défense,vision par ordinateur · cloud · robotique / autonomie · simulation · IA / vision,"Acheteur potentiel de motorisation, blindage, optronique et électronique embarquée pour ses lignes véhicules — également compétiteur sur le segment véhicules.",100,high
75,AIAD & M.O.D ITALIAN INDUSTRIES,Italy,http://www.aiad.it/,,"Conçoit et fabrique des réseaux de communication militaires, infrastructure RF durcie, stations de commandement pour primes défense.",réseaux de communication militaires · infrastructure RF durcie · stations de commandement · réseaux de communication · logiciels métier défense · plateformes de gestion opérationnelle · modules d'analyse de données,,"Primes défense, Export / international",fabrication additive,Compétiteur sur réseaux de communication militaires — cible potentielle pour la vente de sous-systèmes complémentaires ou de prestations associées.,85,medium
76,AICOX SOLUCIONES,Spain,https://www.aicox.com/,,(données publiques trop pauvres pour qualification fiable),,,,,À qualifier — données publiques insuffisantes pour trancher.,0,very_low
77,AIM Infrarot-Module,Germany,https://www.aim-ir.com/,,"Conçoit et fabrique des systèmes satellitaires, terminaux satellite, modules d'avionique spatiale pour primes défense.",systèmes satellitaires · terminaux satellite · modules d'avionique spatiale,certification / tests,"Primes défense, Export / international",communications satellite · GNSS / GPS,"Acheteur potentiel de composants RF, optique cryogénique, électronique radhard pour ses lignes spatial — également compétiteur sur le segment spatial.",100,medium
78,Aimpoint AB,Sweden,http://www.aimpoint.com/,,(données publiques trop pauvres pour qualification fiable),,,,,À qualifier — données publiques insuffisantes pour trancher.,0,very_low
79,Air Target,Sweden,http://www.airtarget.com/,,One of the world’s leading manufacturers of Miss Distance Indicators and Scoring Systems for live fire training supplying partners and en…,,certification / tests,,GNSS / GPS · RF / micro-ondes · cryptographie,Prestataire potentiel de certification / tests pour des programmes défense/sécurité — à qualifier en discovery call.,65,medium
80,AIRBORNE SYSTEMS FRANCE,France,https://airborne-sys.com/,,"Military parachutes, ejection seat parachutes, and related aerial delivery equipment.",,formation · certification / tests · distribution / représentation · ingénierie / conseil · intégration de systèmes,"MoD / Armées, Sécurité civile, Primes défense, Export / international",GNSS / GPS · robotique / autonomie · simulation,Canal de distribution sur le marché mod / armées — partenaire pour la représentation de marques étrangères et l'accès au tissu local.,80,high
81,AIRBORNE TECHNOLOGIES GMBH,Austria,https://www.airbornetechnologies.at/,,"Conçoit et fabrique des véhicules militaires, drones aériens, capteurs embarqués pour armées et forces de sécurité.",véhicules militaires · drones aériens · capteurs embarqués · logiciels métier défense · matériaux composites,certification / tests · formation · intégration de systèmes,"Sécurité civile, Primes défense, MoD / Armées, Export / international",matériaux composites · RF / micro-ondes · Lidar / Laser,"Acheteur potentiel de motorisation, blindage, optronique et électronique embarquée pour ses lignes véhicules — également compétiteur sur le segment véhicules.",100,high
