Company,Country,City,Website,LinkedIn,Eurosatory profile,Booth,Type,Defense segment,Secondary segments,Builds,Sells,Services,Technologies,Target clients,Markets,Target type,Buying need,Other buying needs,Score,Priority,Ideal seller,Pitch,Sales angle,Next action,Status,Tags,Lists,Confidence
5.0 ROBOTICS,Estonie,TALLINN,http://www.50robotics.com/,https://linkedin.com/company/50robotics,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=d3867fd7-e002-49da-b8c0-2962b1e94188,Hall 6 / J119,OEM,UAV / drones,Electronic warfare; Logistics / MRO; Export / distribution,Vehicles; UAV / drones; Software / Platforms; Robotics / UGV; Logistics equipment; Energy / batteries; Composite materials; Mechanical parts; Communications networks; Engines / propulsion,Sub-systems / Components; Integration services; Distribution / agency; Finished products,Distribution / agency,Cloud; Composites; Additive manufacturing; Robotics / autonomy; Lidar / Laser; 5G / wireless,Aerospace primes; Border / customs,Europe; Asia; NATO,Acheteur potentiel,Engines / propulsion,"Composite materials; Mechanical parts; Sensors; Communications networks; Ballistic protection; Optronics / Optics; Energy / batteries; Embedded systems; Cloud / data services; Cybersecurity solutions; AI platforms; Electronic components; Materials; Materials (Li-ion, electrolytes); Raw materials (carbon fiber, resins); Curing equipment; Raw materials (steel, aluminium)",80.5,A,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.","Hi — I noticed 5.0 ROBOTICS builds Vehicles, UAV / drones (+8) for UAV / drones.","UAV builds need batteries, motors, optronics, RF links and composites. Map their bill of materials with the supply chain lead.",Contact sales team and qualify need,New,,,High
"7STARLACK CO., LTD.",Taïwan,NEW TAIPEI CITY,http://7starlake.com/,https://www.linkedin.com/company/7starlake/,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=2a1a7c37-51dd-43d1-8502-803424bfa24d,Hall 5a / J370,À vérifier,Other,,,,,,,,À vérifier,Industrial subcontracting / machining,"Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",17.6,D,Qualifier l'activité avant tout pitch ciblé.,"Hi — I noticed 7STARLACK CO., LTD.","Public sources too thin — discovery call first, focused pitch second.",No immediate action,New,,,Medium
8Devices,Lituanie,Vilnius,http://8devices.com/,https://lt.linkedin.com/company/8devices,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=8ea6e915-9133-4dd4-b6fe-df74c4575f19,Hall 4 / E154,Bureau d'ingénierie,UAV / drones,Cybersecurity; Electronic warfare; Engineering services; Export / distribution,UAV / drones; Software / Platforms; Communications networks; Energy / batteries; Vehicles; Robotics / UGV,Sub-systems / Components; Software licenses; Integration services; Certification / testing; Engineering / consulting,Certification / testing; Engineering / consulting,5G / wireless; RF / microwave; Cryptography; Robotics / autonomy,Critical infrastructure,France; Germany; India; Europe,Acheteur potentiel,Energy / batteries,"Engines / propulsion; Sensors; Optronics / Optics; Communications networks; Composite materials; Embedded systems; Cloud / data services; Cybersecurity solutions; AI platforms; RF / microwave components; Materials (Li-ion, electrolytes); Mechanical parts; Ballistic protection; Electronic components; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance",78.0,A,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.","Hi — I noticed 8Devices builds UAV / drones, Software / Platforms (+4) for UAV / drones.","UAV builds need batteries, motors, optronics, RF links and composites. Map their bill of materials with the supply chain lead.",Contact sales team and qualify need,New,,,High
A.C.S.A. STEEL FORGINGS,Italie,OGGIONA CON SANTO STEFANO,http://acsa.it/en/,https://www.linkedin.com/company/a-c-s-a-steel-forgings-s-p-a/mycompany/?viewAsMember=true,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=367844b4-44af-40fd-8c34-6fa988bc50d5,Hall 5b / A95,Sous-traitant industriel,Other,,Software / Platforms,Finished products; Training; Sub-systems / Components,Training,Robotics / autonomy; Cloud,Aerospace primes,Europe,Fournisseur potentiel,Cloud / data services,"Cybersecurity solutions; AI platforms; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",57.9,C,Activité à qualifier — discovery call avant pitch précis.,Hi — I noticed A.C.S.A.,Public data is thin — qualify the activity before pitching supply.,Keep in watchlist,New,,,Medium
A2V SAS,France,VENDOME,https://a2v.fr/,https://www.linkedin.com/company/a2v/,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=26200ad0-38b4-4d0f-8cb9-5fd83f1403de,Hall 6 / DE304,OEM,Intelligence / ISR,UAV / drones; Radar / sensors; Logistics / MRO; Engineering services; Industrial subcontracting,Robotics / UGV; Logistics equipment; Engines / propulsion; UAV / drones; Sensors; Energy / batteries; Mechanical parts; Satellites / Space,Finished products; Sub-systems / Components; Engineering / consulting; Certification / testing; Training; Sub-contracting,Engineering / consulting; Certification / testing; Training; Sub-contracting,Robotics / autonomy; Lidar / Laser; Simulation,Critical infrastructure,France; Europe,Acheteur potentiel,Electronic components,"Sensors; Energy / batteries; Engines / propulsion; Composite materials; Mechanical parts; Materials; Communications networks; Materials (high temperature alloys); Embedded systems; Optronics / Optics; Materials (Li-ion, electrolytes); Raw materials (steel, aluminium); Industrial subcontracting / machining; Launch services; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding",77.0,A,"Capteurs, payloads optroniques, communications pour plateformes ISR.","Hi — I noticed A2V SAS builds Robotics / UGV, Logistics equipment (+6) for Intelligence / ISR.","ISR platforms aggregate sensors, comms and AI. Map A2V SAS's integration partners.",Contact sales team and qualify need,New,,,High
AADS,Gibraltar,GIBRALTAR,http://www.aads-gib.com/,https://www.linkedin.com/company/africaautomotivedistributionservices,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=bf3a4f81-b834-4a43-8c3a-90e9093d9078,Hall 5a / K215,Distributeur,Export / distribution,,,Distribution / agency,Distribution / agency,,,,Distributeur potentiel,Industrial subcontracting / machining,"Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",37.6,D,Canal de distribution / représentation pour notre portefeuille.,Hi — we're scouting an exclusive distributor for your region.,Mutual distribution alignment — pitch a portfolio swap or co-marketing.,No immediate action,New,,,Medium
AAE - Advanced Armour Engineering,Émirats arabes unis,SHARJAH,http://www.armoureng.com/,https://www.linkedin.com/company/advanced-armour-engineering/,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=54b39145-b406-4d0b-bd21-6491b4aa2e27,Hall 5b / C160,OEM,Land defense,Naval defense; Homeland security; C4ISR; Armored vehicles; Weapons; Ammunition; Ballistic protection; Logistics / MRO; Industrial subcontracting; Export / distribution,Vehicles; Ballistic protection; Mechanical parts; Weapons; Ammunition; Engines / propulsion; Naval systems; Communications networks,Sub-systems / Components; Sub-contracting; Certification / testing; Finished products; Distribution / agency,Sub-contracting; Certification / testing; Distribution / agency,Lidar / Laser; Simulation,Aerospace primes; Critical infrastructure; Police / law enforcement,,Acheteur potentiel,Engines / propulsion,"Composite materials; Mechanical parts; Sensors; Communications networks; Ballistic protection; Optronics / Optics; Textile / industrial fabrics; Certification / testing; Raw materials (steel, aluminium); Industrial subcontracting / machining; Ammunition components; Energetic materials; Packaging; Materials (high temperature alloys); Embedded systems; RF / microwave components; Cybersecurity solutions",72.0,B,"Sous-systèmes, composites, certification pour primes terrestres.","Hi — I noticed AAE - Advanced Armour Engineering builds Vehicles, Ballistic protection (+6) for Land defense.",Land defense primes integrate huge supply chains. Procurement is the buyer.,Review website and validate opportunity,New,,,High
Aage Christensen Defence,Danemark,København C,,,,Hall 6 / J146,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
Aalberts Surface Technologies,France,VILLERS-COTTERÊTS,https://www.aalberts-st.com/,https://www.linkedin.com/company/aalberts-surface-treatment-gmbh/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_all%3BZyHZAJL6R%2Be0Vv03w7BGTg%3D%3D,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=6860a27b-ee5c-4904-b4b6-b2d863c38bf4,Hall 4 / E250,OEM,Electronic warfare,Armored vehicles; Soldier systems; Radar / sensors; Logistics / MRO,Vehicles; Electronic components; Logistics equipment; Mechanical parts; Engines / propulsion; Communications networks; Satellites / Space; Soldier equipment; Robotics / UGV; Sensors; Energy / batteries,Sub-systems / Components; Finished products; Engineering / consulting; Training,Engineering / consulting; Training,Cloud; Additive manufacturing; Robotics / autonomy,Aerospace primes,France; United Kingdom; United States; Europe; Germany,Acheteur potentiel,Engines / propulsion,"Composite materials; Mechanical parts; Sensors; Communications networks; Ballistic protection; Optronics / Optics; Industrial subcontracting / machining; Materials; Raw materials (steel, aluminium); Materials (high temperature alloys); Embedded systems; RF / microwave components; Cybersecurity solutions; Launch services; Textile / industrial fabrics; Energy / batteries; Electronic components",80.5,A,"Amplis RF, processeurs signal, embarqué, antennes pour EW.","Hi — I noticed Aalberts Surface Technologies builds Vehicles, Electronic components (+9) for Electronic warfare.","EW systems source RF amplifiers, signal-processing chips, embedded computing and antennas. Talk to RF system lead.",Contact sales team and qualify need,New,,,High
Aalborg University,Danemark,Aalborg East,,,,Hall 6 / J146,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
Aaronia AG,Allemagne,STRICKSCHEID,http://www.aaronia.de/,,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=fb5d9f55-9590-4250-af1f-1fbe181bc1e5,Hall 5b / C250,À vérifier,Other,,,,,,,,À vérifier,Industrial subcontracting / machining,"Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",18.6,D,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed Aaronia AG at Eurosatory.,"Public sources too thin — discovery call first, focused pitch second.",No immediate action,New,,,Medium
AART ELECTRONICS,France,CROISSY-SUR-SEINE,https://www.aart-electronics.com/,,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=9dc8b5fe-03d5-4ebd-8b94-096ebdd0f553,Hall 6 / E176,OEM,Armored vehicles,Land defense; Homeland security; Logistics / MRO; Dual-use technology,Vehicles; Logistics equipment,Finished products; Sub-systems / Components; Maintenance / MRO,Maintenance / MRO,,Land forces; Navy; Police / law enforcement; Defense ministries,,Acheteur potentiel,Engines / propulsion,"Composite materials; Mechanical parts; Sensors; Communications networks; Ballistic protection; Optronics / Optics; Materials; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",66.4,B,"Moteurs, composites, plaques balistiques, optronique, comms pour OEM blindés.","Hi — I noticed AART ELECTRONICS builds Vehicles, Logistics equipment for Armored vehicles.","Armored vehicle OEMs buy engines, composites, ballistic plates, optronics, comms and specialised mechanics in volume.",Review website and validate opportunity,New,,,High
AB Giraites Ginkluotes Gamykla (GGG),Lituanie,Giraitė,http://www.ggg-ammo.lt/,https://www.linkedin.com/company/ab-giraites-ginkluotes-gamykla/,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=1c804ffd-4f90-4889-8c80-e2d391025d1e,Hall 5a / K221,OEM,Ammunition,,Ammunition,Finished products; Sub-systems / Components; Engineering / consulting,Engineering / consulting,,,NATO; Europe; France; Germany; United Kingdom; United States,Acheteur potentiel,Energetic materials,"Mechanical parts; Packaging; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",68.4,B,"Matériaux énergétiques, mécanique, packaging, certification.",Hi — I noticed AB Giraites Ginkluotes Gamykla (GGG) builds Ammunition for Ammunition.,"Ammunition makers buy energetic materials, mechanical parts, packaging and certification services.",Review website and validate opportunity,New,,,High
ABIMDE,Brésil,SAO PAULO,https://abimde.org.br/pt-br/,https://www.linkedin.com/company/abimde/?originalSubdomain=br,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=592fa2bf-bef7-4562-b0f8-21d86f95e05b,Hall 5b / C100,À vérifier,Other,,,,,,,,À vérifier,Industrial subcontracting / machining,"Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",17.6,D,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed ABIMDE at Eurosatory.,"Public sources too thin — discovery call first, focused pitch second.",No immediate action,New,,,Medium
ABMI,France,NANTERRE,http://abmi-groupe.com/,https://www.linkedin.com/company/abmi-engineering/,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=7b001132-c2e1-4dcd-9cd1-fc93ad4decab,Hall 5b / B39,OEM,Engineering services,,Logistics equipment,Sub-systems / Components; Engineering / consulting; Certification / testing,Engineering / consulting; Certification / testing,,,France; United Kingdom,Acheteur potentiel,Mechanical parts,"Materials; Communications networks; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",66.4,B,"Outils CAD, simulation, certification pour bureau d'études.",Hi — I noticed ABMI builds Logistics equipment for Engineering services.,"Engineering shops buy CAD licences, simulation tools and certification services.",Review website and validate opportunity,New,,,High
ABRIS Design Group,Pologne,WARSZAWA,https://abris-dg.com/,https://www.linkedin.com/company/abrisdesigngroup/posts/?feedView=all,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=4c3782e5-4a6a-4ec7-97a6-e59c15a2507b,Hall 5b / D295,OEM,Intelligence / ISR,Land defense; Air defense; C4ISR; UAV / drones; Ammunition; Optics / optronics; Electronic warfare; Radar / sensors; AI / data; Logistics / MRO; Space / satellite,Vehicles; UAV / drones; Software / Platforms; Ammunition; Robotics / UGV; Sensors; Energy / batteries; Radars; Optronics / Optics; Engines / propulsion; Communications networks; Satellites / Space,Finished products; Integration services; Sub-systems / Components,,Artificial intelligence; Robotics / autonomy; RF / microwave; GNSS / GPS; 5G / wireless; Thermal imaging,Land forces; Defense ministries; Aerospace primes; Critical infrastructure,NATO; Germany,Acheteur potentiel,Engines / propulsion,"Composite materials; Mechanical parts; Sensors; Communications networks; Ballistic protection; Optronics / Optics; Energy / batteries; Embedded systems; Cloud / data services; Cybersecurity solutions; AI platforms; Energetic materials; Packaging; Electronic components; Materials (Li-ion, electrolytes); Materials (high temperature alloys); RF / microwave components",75.0,A,"Capteurs, payloads optroniques, communications pour plateformes ISR.","Hi — I noticed ABRIS Design Group builds Vehicles, UAV / drones (+10) for Intelligence / ISR.","ISR platforms aggregate sensors, comms and AI. Map ABRIS Design Group's integration partners.",Contact sales team and qualify need,New,,,High
Accurate Nordic,Suède,Kista,http://www.accuratenordic.com/,,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=7206f321-6377-4020-b343-a30f6c57486e,Hall 6 / J177,À vérifier,Other,,,,,,,,À vérifier,Industrial subcontracting / machining,"Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",19.6,D,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed Accurate Nordic at Eurosatory.,"Public sources too thin — discovery call first, focused pitch second.",No immediate action,New,,,Medium
ACCURISION GMBH,Autriche,LUSTENAU,,,,Hall 5a / H179,À vérifier,Other,,,,,,,,À vérifier,To enrich,,,D,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,No immediate action,New,,,Low
ACCUWATT TECHNOLOGIES,France,AITON,https://www.accuwatt-technologies.com/,https://www.linkedin.com/company/accuwatt-technologies-france,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=4e3c1ad6-5116-400f-80eb-d0e05fe0ab16,Hall 6 / J20,OEM,UAV / drones,Communications; Radar / sensors,UAV / drones; Sensors; Tactical radios; Robotics / UGV; Energy / batteries,Finished products; Engineering / consulting; Certification / testing,Engineering / consulting; Certification / testing,,Special forces; Land forces,Europe; France,Acheteur potentiel,Energy / batteries,"Engines / propulsion; Sensors; Optronics / Optics; Communications networks; Composite materials; Embedded systems; Electronic components; RF / microwave; Cybersecurity solutions; Materials (Li-ion, electrolytes); Mechanical parts; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",72.0,B,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.","Hi — I noticed ACCUWATT TECHNOLOGIES builds UAV / drones, Sensors (+3) for UAV / drones.","UAV builds need batteries, motors, optronics, RF links and composites. Map their bill of materials with the supply chain lead.",Review website and validate opportunity,New,,,High
ACGB – OTS,France,BAVENT,https://www.acgb.com/,https://www.linkedin.com/company/635770/,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=5147f51f-6313-436b-b69b-45e356a4cedb,Hall 6 / D244,OEM,Radar / sensors,Naval defense; Armored vehicles; Logistics / MRO; Engineering services; Export / distribution,Vehicles; Sensors,Sub-systems / Components; Integration services; Certification / testing,Certification / testing,,Aerospace primes,France,Acheteur potentiel,Engines / propulsion,"Composite materials; Mechanical parts; Sensors; Communications networks; Ballistic protection; Optronics / Optics; Electronic components; Embedded systems; Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding; Cybersecurity audits; Marketing / event representation",70.5,B,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.","Hi — I noticed ACGB – OTS builds Vehicles, Sensors for Radar / sensors.","Radar / sensor lines need specialised electronics, signal processing chips and composite housings. Talk to chief engineer.",Review website and validate opportunity,New,,,High
ACOME GROUP,France,LANNION,http://www.acome.com/fr,https://www.linkedin.com/company/acome/,https://eurosatory.finderr.cloud/standalone/catalog/company-details?company=87c20e7a-9f6c-4924-9c20-9144094d508c,Hall 6 / DE337,OEM,Intelligence / ISR,Radar / sensors; Logistics / MRO,Communications networks; Engines / propulsion; Vehicles; Sensors; Robotics / UGV; Energy / batteries,Finished products; Sub-systems / Components; Engineering / consulting,Engineering / consulting,RF / microwave; 5G / wireless; Robotics / autonomy; Edge computing,Defense ministries,France; Africa; Europe,Acheteur potentiel,RF / microwave components,"Embedded systems; Cybersecurity solutions; Mechanical parts; Materials (high temperature alloys); Engines / propulsion; Composite materials; Sensors; Communications networks; Ballistic protection; Optronics / Optics; Electronic components; Energy / batteries; Materials (Li-ion, electrolytes); Industrial subcontracting / machining; Quality / certification services (ITAR, NATO AQAP, ISO 9100); Export financing / insurance; Logistics & freight forwarding",76.5,A,"Capteurs, payloads optroniques, communications pour plateformes ISR.","Hi — I noticed ACOME GROUP builds Communications networks, Engines / propulsion (+4) for Intelligence / ISR.","ISR platforms aggregate sensors, comms and AI. Map ACOME GROUP's integration partners.",Contact sales team and qualify need,New,,,High
