Name,Website,BillingCountry,BillingCity,LinkedIn__c,Industry,Type,Lead_Score__c,Lead_Rating__c,Status,Description,Next_Step__c,Buying_Need_Main__c,Lead_Source__c
ACS Armoured Car Systems,http://www.acs-armoured-cars.com/,Allemagne,FRIEDBERG / DERCHING,https://www.linkedin.com/company/acs-armoured-car-systems-gmbh,Ballistic protection,OEM,50.0,C,New,"Vend des sous-systèmes / composants à un OEM construisant Vehicles, Ballistic protection.",Keep in watchlist,Engines / propulsion,Eurosatory 2026 Catalog
Actemium Bonnétage Automation (AC Automation),http://acautomation.fr/,France,LE RUSSEY,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
Actemium Maintenance Auxerre,https://www.actemium.fr/implantations/actemium-maintenance-auxerre,France,SAINT Bris Le Vineux,https://www.linkedin.com/company/actemium-france,Intelligence / ISR,OEM,80.0,A,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.",Contact sales team and qualify need,Energy / batteries,Eurosatory 2026 Catalog
ACTIA AEROSPACE,https://aerospace.actia.com/,France,TOULOUSE CEDEX 4,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
ACTinBlack Europe SARL,http://www.actinblack.com/,Luxembourg,FOETZ,,Soldier systems,OEM,65.3,B,New,"Textiles, composites, optronique, énergie pour kits soldat.",Review website and validate opportunity,Electronic components,Eurosatory 2026 Catalog
ADDEV Materials,http://addevmaterials.com/,France,PORTET-SUR-GARONNE,https://www.linkedin.com/company/addevmaterials-aerospace/,Space / satellite,OEM,77.0,A,New,"Composites, capteurs, comms, lancement pour primes spatiaux.",Contact sales team and qualify need,Electronic components,Eurosatory 2026 Catalog
ADDITESS,https://additess.com/,Cyprus,NICOSIA,https://www.linkedin.com/company/4872752/admin/feed/posts/,Intelligence / ISR,Intégrateur,82.0,A,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.",Contact sales team and qualify need,Energy / batteries,Eurosatory 2026 Catalog
ADDUP,https://addupsolutions.com/fr/,France,CEBAZAT,https://www.linkedin.com/company/addup/,Other,À vérifier,14.6,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,Industrial subcontracting / machining,Eurosatory 2026 Catalog
ADNEC - UAE National Pavilion,http://www.adnecgroup.ae/,Émirats arabes unis,ABU DHABI,https://www.linkedin.com/company/adnecgroup/,Intelligence / ISR,OEM,81.0,A,New,"Vend des sous-systèmes / composants à un OEM construisant Vehicles, Communications networks.",Contact sales team and qualify need,Engines / propulsion,Eurosatory 2026 Catalog
ADR,http://adr-alcen.com/,France,THOMERY,https://fr.linkedin.com/company/adr-alcen,Soldier systems,OEM,76.0,A,New,"Textiles, composites, optronique, énergie pour kits soldat.",Contact sales team and qualify need,RF / microwave components,Eurosatory 2026 Catalog
ADS Group Limited,http://www.adsgroup.org.uk/,Royaume-Uni,HAMPSHIRE,https://www.linkedin.com/company/ads-group-ltd/,Cybersecurity,Intégrateur,84.5,A,New,"Threat intel, hardware appliances, cloud souverain, audits.",Contact sales team and qualify need,Cloud / data services,Eurosatory 2026 Catalog
ADV Defense,http://www.advdefense.lt/,Lituanie,Vilnius,,UAV / drones,OEM,69.5,B,New,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.",Review website and validate opportunity,Energy / batteries,Eurosatory 2026 Catalog
ADVANCED DESIGN SOLUTION S.R.O.,http://www.ads-cz.com/,République tchèque,KOPRIVNICE,,Armored vehicles,OEM,70.6,B,New,"Moteurs, composites, plaques balistiques, optronique, comms pour OEM blindés.",Review website and validate opportunity,Engines / propulsion,Eurosatory 2026 Catalog
ADVANTAGE AUSTRIA,http://www.advantageaustria.org/,Autriche,VIENNA,https://at.linkedin.com/company/advantageaustria,Naval defense,Distributeur,82.0,A,New,"Radars, sonars, comms, armement, sustainment pour primes navals.",Contact sales team and qualify need,RF / microwave components,Eurosatory 2026 Catalog
ADVANTECH,http://www.advantech.com/en-eu,France,RUEIL MALMAISON,https://www.linkedin.com/company/advantech-europe/,Cybersecurity,OEM,85.0,A,New,"Threat intel, hardware appliances, cloud souverain, audits.",Contact sales team and qualify need,Engines / propulsion,Eurosatory 2026 Catalog
Advent Atum Pty Ltd,http://adventatum.com/,Australie,SYDNEY,https://au.linkedin.com/company/adventatum,Intelligence / ISR,OEM,82.0,A,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.",Contact sales team and qualify need,Energy / batteries,Eurosatory 2026 Catalog
adwäisEO,https://adwaiseo.eu/en/,Luxembourg,BETZDORF,,Other,À vérifier,16.6,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,Industrial subcontracting / machining,Eurosatory 2026 Catalog
AEC Skyline,http://www.aec-skyline.com/,Pays-Bas,Bosschenhoofd,https://www.linkedin.com/company/aec-skyline/,Intelligence / ISR,OEM,81.5,A,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.",Contact sales team and qualify need,Energy / batteries,Eurosatory 2026 Catalog
Aedus Space Ltd.,https://aedusspace.com/aedusspace.html,Hongrie,Budapest,,Other,À vérifier,16.6,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,Industrial subcontracting / machining,Eurosatory 2026 Catalog
Aeffe srl Keelcrab,https://www.keelcrab.com/,Italie,BULGAROGRASSO,https://www.linkedin.com/company/15155176/admin/dashboard/,UAV / drones,OEM,83.0,A,New,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.",Contact sales team and qualify need,Energy / batteries,Eurosatory 2026 Catalog
AERIADES,http://aeriades.fr/,France,LUNÉVILLE,,Logistics / MRO,Distributeur,69.2,B,New,"Pièces de rechange, calibration, certification pour acteurs MRO.",Review website and validate opportunity,Mechanical parts,Eurosatory 2026 Catalog
AERIX SYSTEMS,https://www.aerix-systems.com/,France,MÉRIGNAC,https://fr.linkedin.com/company/aerix-systems,Radar / sensors,Équipementier,56.1,C,New,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.",Keep in watchlist,Energy / batteries,Eurosatory 2026 Catalog
AERO CONCEPT ENGINEERING,https://www.aero-ce.com/,France,MAGNY COURS,https://www.linkedin.com/company/aero-concept-engineering/,UAV / drones,OEM,71.5,B,New,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.",Review website and validate opportunity,Engines / propulsion,Eurosatory 2026 Catalog
AEROCENTRE,https://aero-centre.fr/,France,DEOLS,https://www.linkedin.com/company/aerocentre/,UAV / drones,Sous-traitant industriel,63.5,B,New,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.",Review website and validate opportunity,Mechanical parts,Eurosatory 2026 Catalog
AEROGLOW INTERNATIONAL,https://www.aeroglowinternational.com/,Royaume-Uni,SALISBURY,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
Aeron Systems Pvt Ltd,https://aeronsystems.com/,Inde,PUNE,https://www.linkedin.com/company/aeron-systems-pvt.-ltd./about/,Land defense,OEM,74.5,B,New,"Sous-systèmes, composites, certification pour primes terrestres.",Review website and validate opportunity,Engines / propulsion,Eurosatory 2026 Catalog
AERONAUTICS GROUP,http://www.aeronautics-sys.com/,Israël,YAVNE,https://www.linkedin.com/company/aeronautics/,UAV / drones,OEM,46.8,C,New,Sub-system / payload pour OEM drones tactiques.,Keep in watchlist,Energy / batteries,Eurosatory 2026 Catalog
AEROSPACE & DEFENCE,https://www.acmh.fr/,France,HONFLEUR,,Space / satellite,OEM,69.0,B,New,"Composites, capteurs, comms, lancement pour primes spatiaux.",Review website and validate opportunity,Composite materials,Eurosatory 2026 Catalog
AEROVIRONMENT (AV),http://www.avinc.com/,États-Unis,SIMI VALLEY,https://www.linkedin.com/company/aerovironment/,Intelligence / ISR,OEM,71.5,B,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.",Review website and validate opportunity,Energy / batteries,Eurosatory 2026 Catalog
AERTEC,https://www.aertecsolutions.com/,Espagne,MALAGA,https://es.linkedin.com/company/aertec,UAV / drones,OEM,68.0,B,New,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.",Review website and validate opportunity,Energy / batteries,Eurosatory 2026 Catalog
Africa Global Logistics,https://www.aglgroup.com/,France,PUTEAUX,https://www.linkedin.com/company/africagloballogistics/,Armored vehicles,OEM,74.5,B,New,"Moteurs, composites, plaques balistiques, optronique, comms pour OEM blindés.",Review website and validate opportunity,RF / microwave components,Eurosatory 2026 Catalog
AFRY,,Suède,SOLNA,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
AG Optics,https://www.agoptics.co.kr/en,Corée du Sud,CHEONAN,,Radar / sensors,Distributeur,66.0,B,New,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.",Review website and validate opportunity,Electronic components,Eurosatory 2026 Catalog
AGC Plasma Technology Solutions,http://www.agc-plasma.com/,Belgique,GOSSELIES,https://www.linkedin.com/showcase/agc-plasma-technology-solutions/?viewAsMember=true,Soldier systems,Bureau d'ingénierie,73.5,B,New,"Textiles, composites, optronique, énergie pour kits soldat.",Review website and validate opportunity,"Materials (Li-ion, electrolytes)",Eurosatory 2026 Catalog
Agence Wallonne à l'Exportation et aux I.E.,https://www.awex.be/,Belgique,BRUXELLES,https://www.linkedin.com/company/wallonia-export-investment-agency/,Other,À vérifier,19.6,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,Industrial subcontracting / machining,Eurosatory 2026 Catalog
AGENCIJA ALAN,https://www.aalan.hr/,Croatie,ZAGREB,https://hr.linkedin.com/company/agencija-alan-d.o.o.,Land defense,Distributeur,84.0,A,New,"Sous-systèmes, composites, certification pour primes terrestres.",Contact sales team and qualify need,Engines / propulsion,Eurosatory 2026 Catalog
AGM GLOBAL VISION,http://www.agmglobalvision.eu/,Bulgarie,SOFIA,,Soldier systems,OEM,83.5,A,New,"Textiles, composites, optronique, énergie pour kits soldat.",Contact sales team and qualify need,Electronic components,Eurosatory 2026 Catalog
AGM ORTHOPAEDICS LLC,http://www.trust-tq.com/,Lettonie,RIGA,https://www.linkedin.com/company/agm-orthopaedics-trust-tq/,Electronic warfare,OEM,70.5,B,New,"Vend des sous-systèmes / composants à un OEM construisant Software / Platforms, Soldier equipment.",Review website and validate opportunity,Cloud / data services,Eurosatory 2026 Catalog
AGON ELECTRONICS,http://www.agon-electronics.com/,France,LABEGE,https://www.linkedin.com/company/ag%C3%B4n-electronics/,Industrial subcontracting,Sous-traitant industriel,61.3,B,New,"Matières premières, outils coupants, services qualité pour sous-traitants.",Review website and validate opportunity,Mechanical parts,Eurosatory 2026 Catalog
AGORAMECA,https://www.agorameca.com/,France,VINEUIL,,Industrial subcontracting,Distributeur,60.7,B,New,"Matières premières, outils coupants, services qualité pour sous-traitants.",Review website and validate opportunity,"Raw materials (steel, aluminium)",Eurosatory 2026 Catalog
AGORIA VZW/ASBL,https://www.agoria.be/en/themes/businessgroups/safety-security-defence/belgian-security-defence-industry-defence-technologies-bsdidt/belgian-security-defence-industry-bsdi,Belgique,BRUXELLES,https://www.linkedin.com/company/agoria,Other,À vérifier,18.6,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,Industrial subcontracting / machining,Eurosatory 2026 Catalog
AGP S GLASS EUROPE GMBH,http://www.agpglass.com/,Allemagne,DÜSSELDORF,,Armored vehicles,OEM,70.0,B,New,"Vend des sous-systèmes / composants à un OEM construisant Vehicles, Engines / propulsion.",Review website and validate opportunity,Engines / propulsion,Eurosatory 2026 Catalog
AI Verse,http://www.ai-verse.com/,France,BIOT,https://www.linkedin.com/company/ai-verse/,Intelligence / ISR,OEM,75.5,A,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.",Contact sales team and qualify need,Engines / propulsion,Eurosatory 2026 Catalog
AIAD & M.O.D ITALIAN INDUSTRIES,http://www.aiad.it/,Italie,ROME,https://www.linkedin.com/company/aiad-federazione-aziende-italiane-aerospazio-difesa-sicurezza/about/,Dual-use technology,OEM,50.1,C,New,"Vend des sous-systèmes / composants à un OEM construisant Communications networks, Software / Platforms.",Keep in watchlist,RF / microwave components,Eurosatory 2026 Catalog
AICOX SOLUCIONES,https://www.aicox.com/,Espagne,Madrid,,Other,À vérifier,4.0,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
AIM Infrarot-Module,https://www.aim-ir.com/,Allemagne,HEILBRONN,,Space / satellite,OEM,68.0,B,New,Vend des sous-systèmes / composants à un OEM construisant Satellites / Space.,Review website and validate opportunity,Composite materials,Eurosatory 2026 Catalog
Aimpoint AB,http://www.aimpoint.com/,Suède,MALMÖ,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
Air Target,http://www.airtarget.com/,Suède,Kista,https://www.linkedin.com/company/air-target-sweden/?viewAsMember=true,Radar / sensors,OEM,70.0,B,New,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.",Review website and validate opportunity,Engines / propulsion,Eurosatory 2026 Catalog
AIRBORNE SYSTEMS FRANCE,https://airborne-sys.com/,France,CUGNAUX,,Land defense,Distributeur,74.5,B,New,"Sous-systèmes, composites, certification pour primes terrestres.",Review website and validate opportunity,Engines / propulsion,Eurosatory 2026 Catalog
AIRBORNE TECHNOLOGIES GMBH,https://www.airbornetechnologies.at/,Autriche,WIENER NEUSTADT,https://www.linkedin.com/company/airborne-technologies-gmbh-austria/,Electronic warfare,OEM,84.5,A,New,"Amplis RF, processeurs signal, embarqué, antennes pour EW.",Contact sales team and qualify need,Engines / propulsion,Eurosatory 2026 Catalog
AIRBUS,https://www.airbus.com/,France,BLAGNAC,https://www.linkedin.com/company/airbusgroup,Intelligence / ISR,Bureau d'ingénierie,77.0,A,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.",Contact sales team and qualify need,Mechanical parts,Eurosatory 2026 Catalog
Airolit AB,,Suède,Mölndal,,Other,À vérifier,,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,To enrich,Eurosatory 2026 Catalog
AIRSENSE Analytics,https://www.airsense.com/,Allemagne,SCHWERIN,https://www.linkedin.com/company/airsense-analytics-gmbh/,Intelligence / ISR,OEM,75.0,A,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.",Contact sales team and qualify need,Electronic components,Eurosatory 2026 Catalog
AIRTECH EUROPE Sarl,http://airtech.lu/,Luxembourg,Differdange,https://www.linkedin.com/company/airtech-advanced-materials-group/,Other,OEM,52.6,C,New,Activité à qualifier — discovery call avant pitch précis.,Keep in watchlist,Industrial subcontracting / machining,Eurosatory 2026 Catalog
Airvolute,https://www.airvolute.com/,Slovaquie,Trnava,,Intelligence / ISR,Distributeur,74.0,B,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.",Review website and validate opportunity,Energy / batteries,Eurosatory 2026 Catalog
Airwayz,https://www.airwayz.co/,Israël,TEL AVIV,https://www.linkedin.com/company/airwayz,UAV / drones,OEM,68.0,B,New,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.",Review website and validate opportunity,Cloud / data services,Eurosatory 2026 Catalog
AKAER,https://www.akaer.com.br/,Brésil,SAO JOSE DOS CAMPOS,https://www.linkedin.com/company/akaer-engenharia-ltda/,Electronic warfare,Distributeur,74.5,B,New,"Amplis RF, processeurs signal, embarqué, antennes pour EW.",Review website and validate opportunity,Cloud / data services,Eurosatory 2026 Catalog
AKG Group,http://www.akg-group.com/,France,SARREGUEMINES,https://www.linkedin.com/company/akg-thermotechnik-international-gmbh,Radar / sensors,OEM,82.0,A,New,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.",Contact sales team and qualify need,Engines / propulsion,Eurosatory 2026 Catalog
AKIRA TECHNOLOGIES,https://www.akira.pro/,France,BAYONNE,https://fr.linkedin.com/company/akira-tech,Radar / sensors,OEM,68.1,B,New,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.",Review website and validate opportunity,Mechanical parts,Eurosatory 2026 Catalog
AKMON S.A.,https://www.akmonsa.gr/,Grèce,Ano Liosia - Industrial Park Athens,https://www.linkedin.com/company/akmon-s-a/,Logistics / MRO,Distributeur,76.5,A,New,"Pièces de rechange, calibration, certification pour acteurs MRO.",Contact sales team and qualify need,Mechanical parts,Eurosatory 2026 Catalog
Aksum Armored,http://www.aksumarmored.com/,Émirats arabes unis,DUBAI,https://www.linkedin.com/company/aksumarmoredvehicles/,C4ISR,OEM,66.0,B,New,"Vend des sous-systèmes / composants à un OEM construisant Vehicles, Software / Platforms.",Review website and validate opportunity,Engines / propulsion,Eurosatory 2026 Catalog
AKTYVUS PHOTONICS,https://www.aktyvusphotonics.com/,Lituanie,VILNIUS,https://www.linkedin.com/company/86300195,Intelligence / ISR,OEM,85.0,A,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.",Contact sales team and qualify need,Mechanical parts,Eurosatory 2026 Catalog
AL JUNDI JOURNAL - UAE MINISTRY OF DEFENCE,http://www.aljundi.ae/en/,Émirats arabes unis,ABU DHABI,,Other,À vérifier,19.6,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,Industrial subcontracting / machining,Eurosatory 2026 Catalog
ALA,http://www.alacorporation.com/,France,Toulouse,https://www.linkedin.com/company/a-l-a--spa/,Space / satellite,OEM,78.0,A,New,"Composites, capteurs, comms, lancement pour primes spatiaux.",Contact sales team and qualify need,RF / microwave components,Eurosatory 2026 Catalog
ALCEN,http://alcen.com/,France,PARIS,https://www.linkedin.com/company/alcen,Intelligence / ISR,OEM,82.0,A,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.",Contact sales team and qualify need,Energy / batteries,Eurosatory 2026 Catalog
ALFAPROJ s.r.o.,http://www.alfaproj.cz/,République tchèque,Brno,,Other,À vérifier,19.6,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,Industrial subcontracting / machining,Eurosatory 2026 Catalog
"Aliter Technologies, a.s.",http://www.aliter.com/,Slovaquie,BRATISLAVA,https://www.linkedin.com/company/268928/,Intelligence / ISR,OEM,81.0,A,New,"Capteurs, payloads optroniques, communications pour plateformes ISR.",Contact sales team and qualify need,Engines / propulsion,Eurosatory 2026 Catalog
Allen-Vanguard,http://allenvanguard.com/,Canada,OTTAWA,https://www.linkedin.com/company/allen-vanguard/,Other,À vérifier,20.6,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,Industrial subcontracting / machining,Eurosatory 2026 Catalog
ALLEVIO GROUPE,https://www.allevio-groupe.com/,France,OYONNAX,https://www.linkedin.com/company/aeroplast-group/,Industrial subcontracting,Sous-traitant industriel,56.7,C,New,"Matières premières, outils coupants, services qualité pour sous-traitants.",Keep in watchlist,"Raw materials (steel, aluminium)",Eurosatory 2026 Catalog
ALLIANCE DEFENSE & SECURITY,http://www.alliance-groupe.com/,France,TOUOUGES,,Weapons,OEM,70.2,B,New,"Usinage de précision, matériaux, optronique, composants munitions ITAR-friendly.",Review website and validate opportunity,Mechanical parts,Eurosatory 2026 Catalog
Allianz Vie,http://www.allianz.fr/,France,PARIS LA DÉFENSE CEDEX,,Other,À vérifier,14.6,D,New,Qualifier l'activité avant tout pitch ciblé.,No immediate action,Industrial subcontracting / machining,Eurosatory 2026 Catalog
