Company name,Website URL,Country,City,LinkedIn,Industry,Type,Lead score,Lead rating,Lifecycle stage,Buying need,Notes,Pitch,Next step,Owner
8Devices,http://8devices.com/,Lituanie,Vilnius,https://lt.linkedin.com/company/8devices,UAV / drones,Bureau d'ingénierie,78.0,A,New,Energy / batteries,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.","Hi — I noticed 8Devices builds UAV / drones, Software / Platforms (+4) for UAV / drones.",Contact sales team and qualify need,
A.C.S.A. STEEL FORGINGS,http://acsa.it/en/,Italie,OGGIONA CON SANTO STEFANO,https://www.linkedin.com/company/a-c-s-a-steel-forgings-s-p-a/mycompany/?viewAsMember=true,Other,Sous-traitant industriel,57.9,C,New,Cloud / data services,Activité à qualifier — discovery call avant pitch précis.,Hi — I noticed A.C.S.A.,Keep in watchlist,
A2V SAS,https://a2v.fr/,France,VENDOME,https://www.linkedin.com/company/a2v/,Intelligence / ISR,OEM,77.0,A,New,Electronic components,"Capteurs, payloads optroniques, communications pour plateformes ISR.","Hi — I noticed A2V SAS builds Robotics / UGV, Logistics equipment (+6) for Intelligence / ISR.",Contact sales team and qualify need,
AADS,http://www.aads-gib.com/,Gibraltar,GIBRALTAR,https://www.linkedin.com/company/africaautomotivedistributionservices,Export / distribution,Distributeur,37.6,D,New,Industrial subcontracting / machining,Canal de distribution / représentation pour notre portefeuille.,Hi — we're scouting an exclusive distributor for your region.,No immediate action,
AAE - Advanced Armour Engineering,http://www.armoureng.com/,Émirats arabes unis,SHARJAH,https://www.linkedin.com/company/advanced-armour-engineering/,Land defense,OEM,72.0,B,New,Engines / propulsion,"Sous-systèmes, composites, certification pour primes terrestres.","Hi — I noticed AAE - Advanced Armour Engineering builds Vehicles, Ballistic protection (+6) for Land defense.",Review website and validate opportunity,
Aage Christensen Defence,,Danemark,København C,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
Aalberts Surface Technologies,https://www.aalberts-st.com/,France,VILLERS-COTTERÊTS,https://www.linkedin.com/company/aalberts-surface-treatment-gmbh/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_all%3BZyHZAJL6R%2Be0Vv03w7BGTg%3D%3D,Electronic warfare,OEM,80.5,A,New,Engines / propulsion,"Amplis RF, processeurs signal, embarqué, antennes pour EW.","Hi — I noticed Aalberts Surface Technologies builds Vehicles, Electronic components (+9) for Electronic warfare.",Contact sales team and qualify need,
Aalborg University,,Danemark,Aalborg East,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
Aaronia AG,http://www.aaronia.de/,Allemagne,STRICKSCHEID,,Other,À vérifier,18.6,D,New,Industrial subcontracting / machining,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed Aaronia AG at Eurosatory.,No immediate action,
AART ELECTRONICS,https://www.aart-electronics.com/,France,CROISSY-SUR-SEINE,,Armored vehicles,OEM,66.4,B,New,Engines / propulsion,"Moteurs, composites, plaques balistiques, optronique, comms pour OEM blindés.","Hi — I noticed AART ELECTRONICS builds Vehicles, Logistics equipment for Armored vehicles.",Review website and validate opportunity,
AB Giraites Ginkluotes Gamykla (GGG),http://www.ggg-ammo.lt/,Lituanie,Giraitė,https://www.linkedin.com/company/ab-giraites-ginkluotes-gamykla/,Ammunition,OEM,68.4,B,New,Energetic materials,"Matériaux énergétiques, mécanique, packaging, certification.",Hi — I noticed AB Giraites Ginkluotes Gamykla (GGG) builds Ammunition for Ammunition.,Review website and validate opportunity,
ABIMDE,https://abimde.org.br/pt-br/,Brésil,SAO PAULO,https://www.linkedin.com/company/abimde/?originalSubdomain=br,Other,À vérifier,17.6,D,New,Industrial subcontracting / machining,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed ABIMDE at Eurosatory.,No immediate action,
ABMI,http://abmi-groupe.com/,France,NANTERRE,https://www.linkedin.com/company/abmi-engineering/,Engineering services,OEM,66.4,B,New,Mechanical parts,"Outils CAD, simulation, certification pour bureau d'études.",Hi — I noticed ABMI builds Logistics equipment for Engineering services.,Review website and validate opportunity,
ABRIS Design Group,https://abris-dg.com/,Pologne,WARSZAWA,https://www.linkedin.com/company/abrisdesigngroup/posts/?feedView=all,Intelligence / ISR,OEM,75.0,A,New,Engines / propulsion,"Capteurs, payloads optroniques, communications pour plateformes ISR.","Hi — I noticed ABRIS Design Group builds Vehicles, UAV / drones (+10) for Intelligence / ISR.",Contact sales team and qualify need,
Accurate Nordic,http://www.accuratenordic.com/,Suède,Kista,,Other,À vérifier,19.6,D,New,Industrial subcontracting / machining,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed Accurate Nordic at Eurosatory.,No immediate action,
ACCURISION GMBH,,Autriche,LUSTENAU,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
ACCUWATT TECHNOLOGIES,https://www.accuwatt-technologies.com/,France,AITON,https://www.linkedin.com/company/accuwatt-technologies-france,UAV / drones,OEM,72.0,B,New,Energy / batteries,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.","Hi — I noticed ACCUWATT TECHNOLOGIES builds UAV / drones, Sensors (+3) for UAV / drones.",Review website and validate opportunity,
ACGB – OTS,https://www.acgb.com/,France,BAVENT,https://www.linkedin.com/company/635770/,Radar / sensors,OEM,70.5,B,New,Engines / propulsion,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.","Hi — I noticed ACGB – OTS builds Vehicles, Sensors for Radar / sensors.",Review website and validate opportunity,
ACOME GROUP,http://www.acome.com/fr,France,LANNION,https://www.linkedin.com/company/acome/,Intelligence / ISR,OEM,76.5,A,New,RF / microwave components,"Capteurs, payloads optroniques, communications pour plateformes ISR.","Hi — I noticed ACOME GROUP builds Communications networks, Engines / propulsion (+4) for Intelligence / ISR.",Contact sales team and qualify need,
ACS Armoured Car Systems,http://www.acs-armoured-cars.com/,Allemagne,FRIEDBERG / DERCHING,https://www.linkedin.com/company/acs-armoured-car-systems-gmbh,Ballistic protection,OEM,50.0,C,New,Engines / propulsion,"Vend des sous-systèmes / composants à un OEM construisant Vehicles, Ballistic protection.","Hi — ACS Armoured Car Systems ships Vehicles, Ballistic protection to defense customers.",Keep in watchlist,
Actemium Bonnétage Automation (AC Automation),http://acautomation.fr/,France,LE RUSSEY,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
Actemium Maintenance Auxerre,https://www.actemium.fr/implantations/actemium-maintenance-auxerre,France,SAINT Bris Le Vineux,https://www.linkedin.com/company/actemium-france,Intelligence / ISR,OEM,80.0,A,New,Energy / batteries,"Capteurs, payloads optroniques, communications pour plateformes ISR.","Hi — I noticed Actemium Maintenance Auxerre builds UAV / drones, Software / Platforms (+4) for Intelligence / ISR.",Contact sales team and qualify need,
ACTIA AEROSPACE,https://aerospace.actia.com/,France,TOULOUSE CEDEX 4,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
ACTinBlack Europe SARL,http://www.actinblack.com/,Luxembourg,FOETZ,,Soldier systems,OEM,65.3,B,New,Electronic components,"Textiles, composites, optronique, énergie pour kits soldat.","Hi — I noticed ACTinBlack Europe SARL builds Optronics / Optics, Soldier equipment (+1) for Soldier systems.",Review website and validate opportunity,
ADDEV Materials,http://addevmaterials.com/,France,PORTET-SUR-GARONNE,https://www.linkedin.com/company/addevmaterials-aerospace/,Space / satellite,OEM,77.0,A,New,Electronic components,"Composites, capteurs, comms, lancement pour primes spatiaux.","Hi — I noticed ADDEV Materials builds Sensors, Logistics equipment (+3) for Space / satellite.",Contact sales team and qualify need,
ADDITESS,https://additess.com/,Cyprus,NICOSIA,https://www.linkedin.com/company/4872752/admin/feed/posts/,Intelligence / ISR,Intégrateur,82.0,A,New,Energy / batteries,"Capteurs, payloads optroniques, communications pour plateformes ISR.","Hi — I noticed ADDITESS builds UAV / drones, Software / Platforms (+9) for Intelligence / ISR.",Contact sales team and qualify need,
ADDUP,https://addupsolutions.com/fr/,France,CEBAZAT,https://www.linkedin.com/company/addup/,Other,À vérifier,14.6,D,New,Industrial subcontracting / machining,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed ADDUP at Eurosatory.,No immediate action,
ADNEC - UAE National Pavilion,http://www.adnecgroup.ae/,Émirats arabes unis,ABU DHABI,https://www.linkedin.com/company/adnecgroup/,Intelligence / ISR,OEM,81.0,A,New,Engines / propulsion,"Vend des sous-systèmes / composants à un OEM construisant Vehicles, Communications networks.","Hi — ADNEC - UAE National Pavilion ships Vehicles, Communications networks (+7) to Defense ministries, Aerospace primes.",Contact sales team and qualify need,
ADR,http://adr-alcen.com/,France,THOMERY,https://fr.linkedin.com/company/adr-alcen,Soldier systems,OEM,76.0,A,New,RF / microwave components,"Textiles, composites, optronique, énergie pour kits soldat.","Hi — I noticed ADR builds Communications networks, Sensors (+6) for Soldier systems.",Contact sales team and qualify need,
ADS Group Limited,http://www.adsgroup.org.uk/,Royaume-Uni,HAMPSHIRE,https://www.linkedin.com/company/ads-group-ltd/,Cybersecurity,Intégrateur,84.5,A,New,Cloud / data services,"Threat intel, hardware appliances, cloud souverain, audits.","Hi — I noticed ADS Group Limited builds Cybersecurity solutions, Communications networks (+5) for Cybersecurity.",Contact sales team and qualify need,
ADV Defense,http://www.advdefense.lt/,Lituanie,Vilnius,,UAV / drones,OEM,69.5,B,New,Energy / batteries,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.","Hi — I noticed ADV Defense builds UAV / drones, Software / Platforms (+4) for UAV / drones.",Review website and validate opportunity,
ADVANCED DESIGN SOLUTION S.R.O.,http://www.ads-cz.com/,République tchèque,KOPRIVNICE,,Armored vehicles,OEM,70.6,B,New,Engines / propulsion,"Moteurs, composites, plaques balistiques, optronique, comms pour OEM blindés.",Hi — I noticed ADVANCED DESIGN SOLUTION S.R.O.,Review website and validate opportunity,
ADVANTAGE AUSTRIA,http://www.advantageaustria.org/,Autriche,VIENNA,https://at.linkedin.com/company/advantageaustria,Naval defense,Distributeur,82.0,A,New,RF / microwave components,"Radars, sonars, comms, armement, sustainment pour primes navals.","Hi — I noticed ADVANTAGE AUSTRIA builds Communications networks, Software / Platforms (+5) for Naval defense.",Contact sales team and qualify need,
ADVANTECH,http://www.advantech.com/en-eu,France,RUEIL MALMAISON,https://www.linkedin.com/company/advantech-europe/,Cybersecurity,OEM,85.0,A,New,Engines / propulsion,"Threat intel, hardware appliances, cloud souverain, audits.","Hi — I noticed ADVANTECH builds Vehicles, Sensors (+8) for Cybersecurity.",Contact sales team and qualify need,
Advent Atum Pty Ltd,http://adventatum.com/,Australie,SYDNEY,https://au.linkedin.com/company/adventatum,Intelligence / ISR,OEM,82.0,A,New,Energy / batteries,"Capteurs, payloads optroniques, communications pour plateformes ISR.","Hi — I noticed Advent Atum Pty Ltd builds UAV / drones, Software / Platforms (+10) for Intelligence / ISR.",Contact sales team and qualify need,
adwäisEO,https://adwaiseo.eu/en/,Luxembourg,BETZDORF,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
AEC Skyline,http://www.aec-skyline.com/,Pays-Bas,Bosschenhoofd,https://www.linkedin.com/company/aec-skyline/,Intelligence / ISR,OEM,81.5,A,New,Energy / batteries,"Capteurs, payloads optroniques, communications pour plateformes ISR.","Hi — I noticed AEC Skyline builds UAV / drones, Sensors (+16) for Intelligence / ISR.",Contact sales team and qualify need,
Aedus Space Ltd.,https://aedusspace.com/aedusspace.html,Hongrie,Budapest,,Other,À vérifier,16.6,D,New,Industrial subcontracting / machining,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed Aedus Space Ltd.,No immediate action,
Aeffe srl Keelcrab,https://www.keelcrab.com/,Italie,BULGAROGRASSO,https://www.linkedin.com/company/15155176/admin/dashboard/,UAV / drones,OEM,83.0,A,New,Energy / batteries,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.","Hi — I noticed Aeffe srl Keelcrab builds UAV / drones, Robotics / UGV (+7) for UAV / drones.",Contact sales team and qualify need,
AERIADES,http://aeriades.fr/,France,LUNÉVILLE,,Logistics / MRO,Distributeur,69.2,B,New,Mechanical parts,"Pièces de rechange, calibration, certification pour acteurs MRO.","Hi — I noticed AERIADES builds Logistics equipment, Communications networks for Logistics / MRO.",Review website and validate opportunity,
AERIX SYSTEMS,https://www.aerix-systems.com/,France,MÉRIGNAC,https://fr.linkedin.com/company/aerix-systems,Radar / sensors,Équipementier,56.1,C,New,Energy / batteries,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.","Hi — I noticed AERIX SYSTEMS builds UAV / drones, Radars (+3) for Radar / sensors.",Keep in watchlist,
AERO CONCEPT ENGINEERING,https://www.aero-ce.com/,France,MAGNY COURS,https://www.linkedin.com/company/aero-concept-engineering/,UAV / drones,OEM,71.5,B,New,Engines / propulsion,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.","Hi — I noticed AERO CONCEPT ENGINEERING builds Vehicles, UAV / drones (+5) for UAV / drones.",Review website and validate opportunity,
AEROCENTRE,https://aero-centre.fr/,France,DEOLS,https://www.linkedin.com/company/aerocentre/,UAV / drones,Sous-traitant industriel,63.5,B,New,Mechanical parts,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.","Hi — I noticed AEROCENTRE builds Logistics equipment, Engines / propulsion (+3) for UAV / drones.",Review website and validate opportunity,
AEROGLOW INTERNATIONAL,https://www.aeroglowinternational.com/,Royaume-Uni,SALISBURY,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
Aeron Systems Pvt Ltd,https://aeronsystems.com/,Inde,PUNE,https://www.linkedin.com/company/aeron-systems-pvt.-ltd./about/,Land defense,OEM,74.5,B,New,Engines / propulsion,"Sous-systèmes, composites, certification pour primes terrestres.","Hi — I noticed Aeron Systems Pvt Ltd builds Vehicles, UAV / drones (+4) for Land defense.",Review website and validate opportunity,
AERONAUTICS GROUP,http://www.aeronautics-sys.com/,Israël,YAVNE,https://www.linkedin.com/company/aeronautics/,UAV / drones,OEM,46.8,C,New,Energy / batteries,Sub-system / payload pour OEM drones tactiques.,Hi — AERONAUTICS GROUP ships UAV / drones to defense customers.,Keep in watchlist,
AEROSPACE & DEFENCE,https://www.acmh.fr/,France,HONFLEUR,,Space / satellite,OEM,69.0,B,New,Composite materials,"Composites, capteurs, comms, lancement pour primes spatiaux.","Hi — I noticed AEROSPACE & DEFENCE builds Satellites / Space, Engines / propulsion (+7) for Space / satellite.",Review website and validate opportunity,
AEROVIRONMENT (AV),http://www.avinc.com/,États-Unis,SIMI VALLEY,https://www.linkedin.com/company/aerovironment/,Intelligence / ISR,OEM,71.5,B,New,Energy / batteries,"Capteurs, payloads optroniques, communications pour plateformes ISR.","Hi — I noticed AEROVIRONMENT (AV) builds UAV / drones, Counter-UAV systems (+12) for Intelligence / ISR.",Review website and validate opportunity,
AERTEC,https://www.aertecsolutions.com/,Espagne,MALAGA,https://es.linkedin.com/company/aertec,UAV / drones,OEM,68.0,B,New,Energy / batteries,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.","Hi — I noticed AERTEC builds UAV / drones, Sensors (+2) for UAV / drones.",Review website and validate opportunity,
Africa Global Logistics,https://www.aglgroup.com/,France,PUTEAUX,https://www.linkedin.com/company/africagloballogistics/,Armored vehicles,OEM,74.5,B,New,RF / microwave components,"Moteurs, composites, plaques balistiques, optronique, comms pour OEM blindés.","Hi — I noticed Africa Global Logistics builds Communications networks, Naval systems (+3) for Armored vehicles.",Review website and validate opportunity,
AFRY,,Suède,SOLNA,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
AG Optics,https://www.agoptics.co.kr/en,Corée du Sud,CHEONAN,,Radar / sensors,Distributeur,66.0,B,New,Electronic components,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.","Hi — I noticed AG Optics builds Optronics / Optics, Sensors for Radar / sensors.",Review website and validate opportunity,
AGC Plasma Technology Solutions,http://www.agc-plasma.com/,Belgique,GOSSELIES,https://www.linkedin.com/showcase/agc-plasma-technology-solutions/?viewAsMember=true,Soldier systems,Bureau d'ingénierie,73.5,B,New,"Materials (Li-ion, electrolytes)","Textiles, composites, optronique, énergie pour kits soldat.","Hi — I noticed AGC Plasma Technology Solutions builds Energy / batteries, Communications networks (+4) for Soldier systems.",Review website and validate opportunity,
Agence Wallonne à l'Exportation et aux I.E.,https://www.awex.be/,Belgique,BRUXELLES,https://www.linkedin.com/company/wallonia-export-investment-agency/,Other,À vérifier,19.6,D,New,Industrial subcontracting / machining,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed Agence Wallonne à l'Exportation et aux I.E.,No immediate action,
AGENCIJA ALAN,https://www.aalan.hr/,Croatie,ZAGREB,https://hr.linkedin.com/company/agencija-alan-d.o.o.,Land defense,Distributeur,84.0,A,New,Engines / propulsion,"Sous-systèmes, composites, certification pour primes terrestres.","Hi — I noticed AGENCIJA ALAN builds Vehicles, UAV / drones (+8) for Land defense.",Contact sales team and qualify need,
AGM GLOBAL VISION,http://www.agmglobalvision.eu/,Bulgarie,SOFIA,,Soldier systems,OEM,83.5,A,New,Electronic components,"Textiles, composites, optronique, énergie pour kits soldat.","Hi — I noticed AGM GLOBAL VISION builds Sensors, Optronics / Optics (+5) for Soldier systems.",Contact sales team and qualify need,
AGM ORTHOPAEDICS LLC,http://www.trust-tq.com/,Lettonie,RIGA,https://www.linkedin.com/company/agm-orthopaedics-trust-tq/,Electronic warfare,OEM,70.5,B,New,Cloud / data services,"Vend des sous-systèmes / composants à un OEM construisant Software / Platforms, Soldier equipment.","Hi — AGM ORTHOPAEDICS LLC ships Software / Platforms, Soldier equipment (+5) to Border / customs.",Review website and validate opportunity,
AGON ELECTRONICS,http://www.agon-electronics.com/,France,LABEGE,https://www.linkedin.com/company/ag%C3%B4n-electronics/,Industrial subcontracting,Sous-traitant industriel,61.3,B,New,Mechanical parts,"Matières premières, outils coupants, services qualité pour sous-traitants.","Hi — I noticed AGON ELECTRONICS builds Logistics equipment, Embedded systems (+2) for Industrial subcontracting.",Review website and validate opportunity,
AGORAMECA,https://www.agorameca.com/,France,VINEUIL,,Industrial subcontracting,Distributeur,60.7,B,New,"Raw materials (steel, aluminium)","Matières premières, outils coupants, services qualité pour sous-traitants.",Hi — I noticed AGORAMECA builds Mechanical parts for Industrial subcontracting.,Review website and validate opportunity,
AGORIA VZW/ASBL,https://www.agoria.be/en/themes/businessgroups/safety-security-defence/belgian-security-defence-industry-defence-technologies-bsdidt/belgian-security-defence-industry-bsdi,Belgique,BRUXELLES,https://www.linkedin.com/company/agoria,Other,À vérifier,18.6,D,New,Industrial subcontracting / machining,Qualifier l'activité avant tout pitch ciblé.,Hi — I noticed AGORIA VZW/ASBL at Eurosatory.,No immediate action,
AGP S GLASS EUROPE GMBH,http://www.agpglass.com/,Allemagne,DÜSSELDORF,,Armored vehicles,OEM,70.0,B,New,Engines / propulsion,"Vend des sous-systèmes / composants à un OEM construisant Vehicles, Engines / propulsion.","Hi — AGP S GLASS EUROPE GMBH ships Vehicles, Engines / propulsion to Police / law enforcement.",Review website and validate opportunity,
AI Verse,http://www.ai-verse.com/,France,BIOT,https://www.linkedin.com/company/ai-verse/,Intelligence / ISR,OEM,75.5,A,New,Engines / propulsion,"Capteurs, payloads optroniques, communications pour plateformes ISR.","Hi — I noticed AI Verse builds Vehicles, UAV / drones (+6) for Intelligence / ISR.",Contact sales team and qualify need,
AIAD & M.O.D ITALIAN INDUSTRIES,http://www.aiad.it/,Italie,ROME,https://www.linkedin.com/company/aiad-federazione-aziende-italiane-aerospazio-difesa-sicurezza/about/,Dual-use technology,OEM,50.1,C,New,RF / microwave components,"Vend des sous-systèmes / composants à un OEM construisant Communications networks, Software / Platforms.","Hi — AIAD & M.O.D ITALIAN INDUSTRIES ships Communications networks, Software / Platforms to Aerospace primes.",Keep in watchlist,
AICOX SOLUCIONES,https://www.aicox.com/,Espagne,Madrid,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
AIM Infrarot-Module,https://www.aim-ir.com/,Allemagne,HEILBRONN,,Space / satellite,OEM,68.0,B,New,Composite materials,Vend des sous-systèmes / composants à un OEM construisant Satellites / Space.,Hi — AIM Infrarot-Module ships Satellites / Space to Aerospace primes.,Review website and validate opportunity,
Aimpoint AB,http://www.aimpoint.com/,Suède,MALMÖ,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
Air Target,http://www.airtarget.com/,Suède,Kista,https://www.linkedin.com/company/air-target-sweden/?viewAsMember=true,Radar / sensors,OEM,70.0,B,New,Engines / propulsion,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.","Hi — I noticed Air Target builds Vehicles, UAV / drones (+8) for Radar / sensors.",Review website and validate opportunity,
AIRBORNE SYSTEMS FRANCE,https://airborne-sys.com/,France,CUGNAUX,,Land defense,Distributeur,74.5,B,New,Engines / propulsion,"Sous-systèmes, composites, certification pour primes terrestres.","Hi — I noticed AIRBORNE SYSTEMS FRANCE builds Vehicles, UAV / drones (+9) for Land defense.",Review website and validate opportunity,
AIRBORNE TECHNOLOGIES GMBH,https://www.airbornetechnologies.at/,Autriche,WIENER NEUSTADT,https://www.linkedin.com/company/airborne-technologies-gmbh-austria/,Electronic warfare,OEM,84.5,A,New,Engines / propulsion,"Amplis RF, processeurs signal, embarqué, antennes pour EW.","Hi — I noticed AIRBORNE TECHNOLOGIES GMBH builds Vehicles, UAV / drones (+6) for Electronic warfare.",Contact sales team and qualify need,
AIRBUS,https://www.airbus.com/,France,BLAGNAC,https://www.linkedin.com/company/airbusgroup,Intelligence / ISR,Bureau d'ingénierie,77.0,A,New,Mechanical parts,"Capteurs, payloads optroniques, communications pour plateformes ISR.","Hi — I noticed AIRBUS builds Engines / propulsion, Communications networks (+10) for Intelligence / ISR.",Contact sales team and qualify need,
Airolit AB,,Suède,Mölndal,,Other,À vérifier,,D,New,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,No immediate action,
AIRSENSE Analytics,https://www.airsense.com/,Allemagne,SCHWERIN,https://www.linkedin.com/company/airsense-analytics-gmbh/,Intelligence / ISR,OEM,75.0,A,New,Electronic components,"Capteurs, payloads optroniques, communications pour plateformes ISR.","Hi — I noticed AIRSENSE Analytics builds Sensors, Soldier equipment (+9) for Intelligence / ISR.",Contact sales team and qualify need,
AIRTECH EUROPE Sarl,http://airtech.lu/,Luxembourg,Differdange,https://www.linkedin.com/company/airtech-advanced-materials-group/,Other,OEM,52.6,C,New,Industrial subcontracting / machining,Activité à qualifier — discovery call avant pitch précis.,Hi — I noticed AIRTECH EUROPE Sarl builds — for Other.,Keep in watchlist,
Airvolute,https://www.airvolute.com/,Slovaquie,Trnava,,Intelligence / ISR,Distributeur,74.0,B,New,Energy / batteries,"Capteurs, payloads optroniques, communications pour plateformes ISR.","Hi — I noticed Airvolute builds UAV / drones, Sensors (+7) for Intelligence / ISR.",Review website and validate opportunity,
Airwayz,https://www.airwayz.co/,Israël,TEL AVIV,https://www.linkedin.com/company/airwayz,UAV / drones,OEM,68.0,B,New,Cloud / data services,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.","Hi — I noticed Airwayz builds Software / Platforms, Logistics equipment (+2) for UAV / drones.",Review website and validate opportunity,
AKAER,https://www.akaer.com.br/,Brésil,SAO JOSE DOS CAMPOS,https://www.linkedin.com/company/akaer-engenharia-ltda/,Electronic warfare,Distributeur,74.5,B,New,Cloud / data services,"Amplis RF, processeurs signal, embarqué, antennes pour EW.","Hi — I noticed AKAER builds Software / Platforms, Robotics / UGV (+4) for Electronic warfare.",Review website and validate opportunity,
