exhibitor_id,company_name,country,website,pavilion,activity_1liner,supply_chain_tier,products,products_categories,services,services_categories,target_buyers,technologies,technologies_categories,why_target,completeness_score,data_source_strength
11,5.0 ROBOTICS,Estonia,http://www.50robotics.com/,,Conçoit des systèmes robotiques de fabrication pour l'industrie défense et l'aéronautique.,Tier 3,,Pièces mécaniques & usinage,distribution / représentation · intégration de systèmes,Distribution & représentation · Intégration de systèmes,"Primes défense, Sécurité civile",cloud · matériaux composites · fabrication additive · robotique / autonomie · Lidar / Laser,Cloud & cloud souverain · Matériaux composites · Fabrication additive · Robotique & autonomie · Lidar / Laser,Prestataire potentiel de distribution / représentation pour primes défense — partenaire pour les marchés publics et industriels associés.,80,high
12,"7STARLACK CO., LTD.",Taiwan,http://7starlake.com/,,"Conçoit et fabrique des PC, serveurs et systèmes embarqués durcis pour véhicules militaires, naval et applications mission-critiques.",OEM,serveurs durcis 7Starlake · PC embarqués véhicules · modules edge AI durcis,Véhicules tactiques (non blindés) · Pièces mécaniques & usinage,intégration système · qualification militaire,Intégration de systèmes · Certification & tests,"MoD / Armées, Primes défense, Export / international",informatique durcie · edge computing,Edge computing & GPU embarqué,Compétiteur taïwanais sur informatique durcie — partenaire pour intégrateurs cherchant des PC mission-critique à coût compétitif.,100,manual
13,8Devices,Lithuania,http://8devices.com/,,"Conçoit des solutions de connectivité et edge computing pour drones, robots et systèmes autonomes.",OEM,,Drones aériens (UAV) · Plateformes IA / vision défense · Mécanique de transmission · Pièces mécaniques & usinage,certification / tests · ingénierie / conseil · intégration de systèmes,Certification & tests · Ingénierie & conseil · Intégration de systèmes,"Sécurité civile, Export / international",5G / sans-fil · RF / micro-ondes · cryptographie · robotique / autonomie,5G / réseaux radio mobiles · Communications RF / micro-ondes · Cryptographie · Robotique & autonomie,Prestataire potentiel de certification / tests pour sécurité civile — partenaire pour les marchés publics et industriels associés.,80,medium
14,A.C.S.A. STEEL FORGINGS,Italy,http://acsa.it/en/,,"Forge à chaud des pièces en acier pour la défense, l'aéronautique et l'industrie.",OEM,pièces forgées en acier · produits forgés titane · ensembles forgés aéronautiques,Pièces mécaniques & usinage · Munitions gros calibre & obus,formation,Formation & entraînement,"Primes défense, Industriels défense, Export / international",métallurgie spéciale · forgeage de précision,Autre — à qualifier,"Sous-traitant Tier-1 forgeage pour primes véhicules blindés (KMW, Rheinmetall) et aéronautique (turbines, paliers).",100,medium
15,A2V SAS,France,https://a2v.fr/,,Société d'ingénierie et d'étude mécatronique capable de développement et de réalisations électroniques et mécaniques autour des produits…,Tier 2,,Composants électroniques & cartes · Servomoteurs & motion control précision,ingénierie / conseil · certification / tests · formation · sous-traitance,Ingénierie & conseil · Certification & tests · Formation & entraînement · Sous-traitance industrielle,Sécurité civile,robotique / autonomie · Lidar / Laser · simulation,Robotique & autonomie · Lidar / Laser · Navigation inertielle · Simulation & VR/AR,Prestataire potentiel de ingénierie / conseil pour sécurité civile — partenaire pour les marchés publics et industriels associés.,80,medium
16,AADS,Gibraltar,http://www.aads-gib.com/,,Part of an International Automotive Group of companies with 95 years of experience in the automotive industry.,OEM,,Véhicules tactiques (non blindés),distribution / représentation,Distribution & représentation,,,,Prestataire potentiel de distribution / représentation pour des programmes défense/sécurité — à qualifier en discovery call.,50,medium
17,AAE - Advanced Armour Engineering,United Arab Emirates,http://www.armoureng.com/,,Fournit des services d'ingénierie et de fabrication contractuelle pour la défense et la sécurité.,OEM,,Matériaux composites & blindage · Pièces mécaniques & usinage · Véhicules blindés · Logiciels de simulation & cyber range,sous-traitance · certification / tests · distribution / représentation,Sous-traitance industrielle · Certification & tests · Distribution & représentation,"Primes défense, Sécurité civile",Lidar / Laser · simulation,Lidar / Laser · Navigation inertielle · Simulation & VR/AR,Prestataire potentiel de sous-traitance pour primes défense — partenaire pour les marchés publics et industriels associés.,80,high
18,Aage Christensen Defence,Denmark,,,"Fournit de l'armement, des munitions et de l'équipement militaire à l'armée danoise et aux agences de sécurité.",OEM,armes légères (catalogue) · munitions · équipement individuel · optronique embarquée,Armes légères & accessoires · Munitions petit/moyen calibre · Optronique & viseurs (EO/IR),distribution / représentation · support après-vente,Distribution & représentation,"MoD / Armées, Sécurité civile, Export / international",,,Canal de distribution sur le marché danois — partenaire pour la représentation de marques étrangères auprès du MoD danois.,70,manual
19,Aalberts Surface Technologies,France,https://www.aalberts-st.com/,,Aalberts ST ✓ Leading global service provider for improving material characteristics ✓ Regional & global customers ▶ Learn more.,Tier 1,plateforme cybersécurité OT · outils d'audit ICS / SCADA,Cybersécurité (logiciels & appliances),ingénierie / conseil · formation,Ingénierie & conseil · Formation & entraînement,"Sécurité civile, MoD / Armées, Industriels défense, Primes défense",cybersécurité OT / ICS,Cybersécurité OT / ICS,Niche cybersécurité industrielle — partenaire pour la protection d'infrastructures critiques et bases militaires.,80,high
20,Aalborg University,Denmark,,,"Conduit des recherches en ingénierie et sciences appliquées sur les technologies duales (drones, communications, robotique) pour l'industrie défense.",OEM,publications scientifiques · prototypes de recherche · brevets duaux,R&D académique & laboratoires · Drones aériens (UAV),projets de recherche collaboratifs · thèses CIFRE · expertise technique,R&D sur contrat,"MoD / Armées, Industriels défense",IA / vision · robotique / autonomie · RF / micro-ondes · matériaux composites,IA / machine learning · Robotique & autonomie · Communications RF / micro-ondes · Matériaux composites,Partenaire R&D sur projets EDF (European Defence Fund) et Horizon Europe — porte d'entrée pour PhD/post-docs et brevets duaux.,85,manual
21,Aaronia AG,Germany,http://www.aaronia.de/,,"Conçoit et fabrique des analyseurs RF, drones radio-écoute et systèmes de surveillance du spectre pour la défense et la sécurité.",OEM,analyseurs RF Aaronia Spectran · drones radio-écoute · systèmes anti-drone par détection RF,"Matériaux balistiques (UHMWPE, céramiques) · Drones aériens (UAV) · Systèmes anti-drone (C-UAS)",intégration site · formation RF,Intégration de systèmes · Formation & entraînement,"MoD / Armées, Sécurité civile, Export / international",RF / micro-ondes · détection drone · monitoring spectre,Communications RF / micro-ondes,Compétiteur allemand sur surveillance du spectre RF — partenaire pour intégrateurs anti-drone et SIGINT.,100,manual
22,AART ELECTRONICS,France,https://www.aart-electronics.com/,,Pilote la défense nationale et conduit les achats militaires publics.,Tier 3,achat public défense · politique industrielle militaire · passation de marchés publics défense · coopération inter-États défense,Achat public défense & politique industrielle · Pièces mécaniques & usinage,MCO / MRO,MCO / MRO,"MoD / Armées, Export / international, Sécurité civile",,,Acheteur public défense — porte d'entrée pour fournisseurs cherchant à pénétrer le marché public militaire local.,85,high
23,AB Giraites Ginkluotes Gamykla (GGG),Lithuania,http://www.ggg-ammo.lt/,,Conçoit et fabrique des munitions et matériels énergétiques pour les armées.,Tier 1,générateurs portables · groupes électrogènes mobiles · kits énergie tactique · batteries haute densité,Groupes électrogènes & énergie tactique · Batteries & packs énergétiques,ingénierie / conseil,Ingénierie & conseil,"MoD / Armées, Primes défense, Sécurité civile, Export / international",énergie portative · électronique de puissance,Autre — à qualifier,"Acheteur potentiel de batteries Li-ion militaires, modules de gestion d'énergie embarqués et composants de génération électrique.",100,medium
24,ABIMDE,Brazil,https://abimde.org.br/pt-br/,,Représente la base industrielle brésilienne de défense et de sécurité et promeut ses membres à l'export.,N/A,,"Représentation institutionnelle (cluster, fédération, chambre)",représentation institutionnelle · promotion à l'export · organisation de missions et pavillons sur salons · certification (ABIMDE-OCP),Représentation institutionnelle (cluster/fédération) · Promotion territoriale & investissement · Certification & tests,"Industriels défense, Export / international, MoD / Armées",,,"Porte d'entrée vers le tissu défense brésilien (Embraer Defense, Avibras, IMBEL, Taurus, CBC) — canal idéal pour identifier partenaires et distributeurs LATAM.",65,manual
25,ABMI,France,http://abmi-groupe.com/,,"For over 40 years, ABMI has been providing its specialist engineering expertise to major industrial sectors.",Tier 1,,Pièces mécaniques & usinage · Logiciels métier défense (autres),ingénierie / conseil · certification / tests,Ingénierie & conseil · Certification & tests,,,,Prestataire potentiel de ingénierie / conseil pour des programmes défense/sécurité — à qualifier en discovery call.,50,medium
26,ABRIS Design Group,Poland,https://abris-dg.com/,,"Conçoit et fabrique des drones tactiques (ISR, munitions rôdeuses, frappe de précision).",OEM,drones FPV de combat · munitions rôdeuses tactiques · stations de contrôle,Drones FPV & munitions rôdeuses · Drones aériens (UAV) · Munitions petit/moyen calibre · Composants électroniques & cartes · Véhicules tactiques (non blindés),intégration de systèmes,Intégration de systèmes,"MoD / Armées, Export / international, Primes défense, Sécurité civile",vol autonome · IA / vision,Robotique & autonomie · Vol autonome & GPS-denied · IA / machine learning,Compétiteur de niche sur drones FPV battle-proven (Ukraine) — partenaire pour intégrateurs de drones à grande échelle.,100,high
27,Accurate Nordic,Sweden,http://www.accuratenordic.com/,,"Conçoit et fabrique des connecteurs et harnais sur-mesure pour la défense, le médical et l'industriel scandinave.",OEM,connecteurs militaires sur-mesure · harnais durcis · ensembles de câblage,Connectique & câblage durcis · Drones aériens (UAV) · Pièces mécaniques & usinage,ingénierie de câblage · qualification militaire,Ingénierie & conseil · Certification & tests,"Primes défense, Industriels défense",connectique mil-grade,Autre — à qualifier,Sous-traitant suédois de câblage militaire — fournisseur potentiel pour Saab et primes scandinaves.,100,manual
28,ACCURISION GMBH,Austria,,,(données publiques trop pauvres pour qualification fiable — société autrichienne à qualifier),N/A,,Autre — à qualifier,,Autre — à qualifier,,,Autre — à qualifier,À qualifier — données publiques insuffisantes (pas de site renseigné dans Finderr).,35,manual
29,ACCUWATT TECHNOLOGIES,France,https://www.accuwatt-technologies.com/,,"15 années d’expérience dans le stockage d’énergie en environnement difficile, ACCUWATT Technologies se positionne dans la batterie Lithiu…",OEM,drones aériens · capteurs embarqués · radios tactiques · robots terrestres (UGV) · batteries / sources d'énergie,Drones aériens (UAV) · Capteurs embarqués (généraux) · Radios tactiques & SDR · Robots terrestres (UGV / EOD) · Batteries & packs énergétiques,ingénierie / conseil · certification / tests,Ingénierie & conseil · Certification & tests,MoD / Armées,vol autonome · RF / micro-ondes · capteurs IoT industriels · radios tactiques,Robotique & autonomie · Vol autonome & GPS-denied · Communications RF / micro-ondes · Capteurs IoT industriels,"Acheteur potentiel de nacelles EO/IR, batteries Li-ion, liaison de données chiffrée pour ses lignes drones — également compétiteur sur le segment drones.",100,high
30,ACGB – OTS,France,https://www.acgb.com/,,"Manufacturer of tailor-made, innovative & intelligent alumnium tanks.",Tier 3,,Pièces mécaniques & usinage,certification / tests · intégration de systèmes,Certification & tests · Intégration de systèmes,Primes défense,,,Prestataire potentiel de certification / tests pour primes défense — partenaire pour les marchés publics et industriels associés.,65,medium
31,ACOME GROUP,France,http://www.acome.com/fr,,"An international industrial group, innovative and recognized in high-tech cabling systems, tubes and accessories for telecommunications…",Tier 2,,Connectique & câblage durcis · Pièces mécaniques & usinage,ingénierie / conseil,Ingénierie & conseil,MoD / Armées,RF / micro-ondes · 5G / sans-fil · robotique / autonomie · edge computing,Communications RF / micro-ondes · 5G / réseaux radio mobiles · Robotique & autonomie · Edge computing & GPU embarqué,Prestataire potentiel de ingénierie / conseil pour mod / armées — partenaire pour les marchés publics et industriels associés.,80,medium
32,ACS Armoured Car Systems,Germany,http://www.acs-armoured-cars.com/,,Conçoit et fabrique des solutions de blindage et protection balistique.,OEM,plaques balistiques · panneaux blindés composites · boucliers tactiques,"Gilets & plaques pare-balles · Pièces mécaniques & usinage · Représentation institutionnelle (cluster, fédération, chambre)",,,"MoD / Armées, Sécurité civile, Primes défense, Export / international",matériaux composites balistiques,Matériaux composites,Compétiteur direct sur blindage composite — fournisseur potentiel pour primes véhicules blindés.,100,medium
33,Actemium Bonnétage Automation (AC Automation),France,http://acautomation.fr/,,Conçoit et réalise des machines spéciales d'assemblage de précision et de contrôle automatisé.,Tier 3,machines spéciales d'assemblage automatisé · stations de contrôle qualité automatisées · systèmes de vision industrielle · cellules robotisées d'assemblage · systèmes de dévracage 2D/3D,Pièces mécaniques & usinage · Autre — à qualifier,"Études et conception de machines spéciales · Industrialisation de moyens de production · SAV et maintenance machines · Sous-traitance industrielle · Distribution de composants (bols vibrants, feeders, palettiseurs)",Sous-traitance industrielle · Intégration de systèmes · Ingénierie & conseil,"Industriels défense, Primes défense",robotique industrielle · vision industrielle · automatisme · intégration de systèmes d'assemblage,Robotique & autonomie · Vision par ordinateur,"Intégrateur potentiel de lignes d'assemblage automatisées pour munitions, sous-ensembles électroniques et mécaniques des primes défense.",100,manual
34,Actemium Maintenance Auxerre,France,https://www.actemium.fr/implantations/actemium-maintenance-auxerre,,"Maintient les équipements industriels (mécanique, hydraulique, automatisme) pour les sites défense et industriels.",MRO,maintenance corrective équipements · maintenance préventive sites industriels · interventions hydrauliques et mécaniques,Hydraulique & motion control,MCO industriel · maintenance préventive · support 24/7,MCO / MRO,"Industriels défense, Primes défense",mécanique de précision,Autre — à qualifier,Mainteneur industriel français (groupe VINCI Énergies) — partenaire pour les sites de production des primes défense.,100,manual
35,ACTIA AEROSPACE,France,https://aerospace.actia.com/,,"Conçoit et fabrique de l'avionique embarquée, calculateurs de vol et systèmes de mission pour aéronefs militaires et civils.",Tier 1,calculateurs de vol · boîtiers d'enregistrement de vol · systèmes de gestion de mission · interfaces homme-machine cockpit · systèmes de communications avioniques,Avionique & instruments embarqués,MCO avionique · qualification militaire · intégration cockpit,MCO / MRO · Certification & tests · Intégration de systèmes,"Primes défense, MoD / Armées, Export / international",embarqué temps réel · cybersécurité avionique · DO-178C,Cybersécurité,"Sous-traitant Tier-1 pour Airbus DS, Dassault, Safran — acheteur de composants électroniques durcis et de prestations de qualification DO-178.",85,manual
36,ACTinBlack Europe SARL,Luxembourg,http://www.actinblack.com/,,Explore here the night vision systems of ActinBlack.,OEM,,Vision nocturne & jumelles,MCO / MRO,MCO / MRO,MoD / Armées,,,Prestataire potentiel de MCO / MRO pour mod / armées — partenaire pour les marchés publics et industriels associés.,65,medium
37,ADDEV Materials,France,http://addevmaterials.com/,,"Conçoit et fabrique des emballages techniques durcis pour la défense, l'aéronautique et l'armement.",Tier 1,caisses techniques durcies · conteneurs étanches · emballages personnalisés mil-spec,"Conteneurs, malles, shelters · Pièces mécaniques & usinage · Optronique & viseurs (EO/IR)",MCO / MRO · ingénierie / conseil,MCO / MRO · Ingénierie & conseil,"MoD / Armées, Primes défense, Industriels défense, Export / international",conteneurs étanches,Autre — à qualifier,"Fournisseur d'emballage technique — partenaire pour la projection de matériel sensible (avionique, optronique, munitions).",100,high
38,ADDITESS,Cyprus,https://additess.com/,,"Édite des solutions logicielles de sécurité pour la protection d'infrastructures critiques, des frontières et de la cargaison.",OEM,plateforme de surveillance frontalière · systèmes de protection d'infrastructures critiques · outils d'analyse de transport / cargaison · drones de surveillance · modules cybersécurité,Logiciels métier défense (autres) · Drones aériens (UAV) · Cybersécurité (logiciels & appliances),ingénierie / conseil sécurité · formation opérateurs · distribution / représentation · certification / tests,Ingénierie & conseil · Formation & entraînement · Distribution & représentation · Certification & tests,"MoD / Armées, Sécurité civile, Export / international",IA / vision · cybersécurité · cloud · robotique / autonomie · 5G / sans fil,IA / machine learning · Cybersécurité · Cloud & cloud souverain · Robotique & autonomie · 5G / réseaux radio mobiles,Intégrateur potentiel pour solutions surveillance frontière au Moyen-Orient — partenaire R&D européen sur projets H2020/Horizon Europe sécurité.,100,manual
39,ADDUP,France,https://addupsolutions.com/fr/,,Conçoit et fabrique des machines de fabrication additive métallique (fusion laser sur lit de poudre) pour l'industrie.,Tier 3,machines FormUp 350 (PBF-LB) · machines FormUp 700 · logiciel AddUp Manager · poudres métalliques certifiées,Pièces mécaniques & usinage · Aciers & métallurgie spéciale,ingénierie & conseil en industrialisation FA · formation aux procédés de fabrication additive · sous-traitance d'impression 3D métal,Sous-traitance industrielle · Formation & entraînement · Ingénierie & conseil,"Primes défense, Industriels défense, Export / international",fabrication additive métal (LPBF) · poudres métalliques · métallurgie spéciale · monitoring procédé in-situ,"Fabrication additive · Métallurgie spéciale (alliages, blindages)","Compétiteur direct sur les machines LPBF (vs EOS, SLM Solutions) et fournisseur clé pour les primes défense cherchant à internaliser la fabrication additive de pièces critiques.",85,manual
40,ADNEC - UAE National Pavilion,United Arab Emirates,http://www.adnecgroup.ae/,,Représente le tissu industriel défense et facilite la coopération internationale.,Tier 3,représentation des industriels défense · accompagnement export PME défense · mise en relation B2B défense · montage de projets EDF / Horizon Europe,"Représentation institutionnelle (cluster, fédération, chambre) · Textiles techniques tactiques",,,"Industriels défense, Export / international, MoD / Armées, Primes défense",,,"Porte d'entrée institutionnelle vers le tissu industriel défense — utile pour identifier sous-traitants, partenaires R&D et opportunités EDF.",85,high
41,ADR,France,http://adr-alcen.com/,,"Société leading company in high-precision ball bearings, located near Fontainebleau.",Tier 3,pièces usinées de précision · ensembles micro-mécaniques · composants CNC complexes,Pièces mécaniques & usinage,intégration de systèmes,Intégration de systèmes,"Primes défense, Industriels défense, Export / international",mécanique de précision · usinage 5 axes,Autre — à qualifier,"Sous-traitant éligible EN9100/AQAP — fournisseur potentiel pour pièces série courte des programmes défense (Scorpion, Eurofighter, MGCS).",100,high
42,ADS Group Limited,United-Kingdom,http://www.adsgroup.org.uk/,,Représente le tissu industriel défense et facilite la coopération internationale.,Tier 3,représentation des industriels défense · accompagnement export PME défense · mise en relation B2B défense · montage de projets EDF / Horizon Europe,"Représentation institutionnelle (cluster, fédération, chambre) · Textiles techniques tactiques",ingénierie / conseil · formation · distribution / représentation,Ingénierie & conseil · Formation & entraînement · Distribution & représentation,"Industriels défense, Export / international, Primes défense, MoD / Armées",,,"Porte d'entrée institutionnelle vers le tissu industriel défense — utile pour identifier sous-traitants, partenaires R&D et opportunités EDF.",85,high
43,ADV Defense,Lithuania,http://www.advdefense.lt/,,"Conçoit et fabrique des drones aériens, logiciels métier défense, robots terrestres (UGV).",OEM,drones aériens · logiciels métier défense · robots terrestres (UGV) · équipement logistique · moteurs / propulsion,Drones aériens (UAV) · Logiciels métier défense (autres) · Robots terrestres (UGV / EOD) · Logistique militaire & transport · Moteurs aéronautiques,,,MoD / Armées,cloud · robotique / autonomie · GNSS / GPS · 5G / sans-fil,Cloud & cloud souverain · Robotique & autonomie · GNSS / navigation satellite · 5G / réseaux radio mobiles,"Acheteur potentiel de nacelles EO/IR, batteries Li-ion, liaison de données chiffrée pour ses lignes drones — également compétiteur sur le segment drones.",100,medium
44,ADVANCED DESIGN SOLUTION S.R.O.,Czech Republic,http://www.ads-cz.com/,,"Conçoit des systèmes de transmission, essieux et suspensions pour véhicules militaires.",Tier 3,suspensions hydropneumatiques · amortisseurs blindés · ensembles de suspension chars,Hydraulique & motion control · Mécanique de transmission · Pièces mécaniques & usinage,,,"Primes défense, MoD / Armées, Export / international",amortisseurs militaires,Hydraulique haute performance,Fournisseur Tier-1 suspensions chars — partenaire pour primes véhicules blindés.,100,medium
45,ADVANTAGE AUSTRIA,Austria,http://www.advantageaustria.org/,,Représente le tissu industriel défense et facilite la coopération internationale.,Tier 3,représentation des industriels défense · accompagnement export PME défense · mise en relation B2B défense · montage de projets EDF / Horizon Europe,"Représentation institutionnelle (cluster, fédération, chambre) · Textiles techniques tactiques",ingénierie / conseil · distribution / représentation,Ingénierie & conseil · Distribution & représentation,"Industriels défense, Export / international, Primes défense, Sécurité civile",,,"Porte d'entrée institutionnelle vers le tissu industriel défense — utile pour identifier sous-traitants, partenaires R&D et opportunités EDF.",85,high
46,ADVANTECH,France,http://www.advantech.com/en-eu,,"With more than 8600 employees worldwide and a 40 year track record the company is a global leader in innovative products, systems, servic…",Tier 1,,Plateformes IA / vision défense,ingénierie / conseil · services cloud / données · distribution / représentation · certification / tests · intégration de systèmes,Ingénierie & conseil · Services cloud & data · Distribution & représentation · Certification & tests · Intégration de systèmes,"Sécurité civile, Primes défense, Export / international",vision par ordinateur · edge computing · cloud · 5G / sans-fil · IA / vision,Vision par ordinateur · Edge computing & GPU embarqué · Cloud & cloud souverain · 5G / réseaux radio mobiles · IA / machine learning,Prestataire potentiel de ingénierie / conseil pour sécurité civile — partenaire pour les marchés publics et industriels associés.,80,high
47,Advent Atum Pty Ltd,Australia,http://adventatum.com/,,"Advent Atum is an Australian-Ukrainian company delivers a combat-proven CsUAS ecosystem across the full kill chain: detect, command, enga…",OEM,,Véhicules tactiques (non blindés) · Systèmes C2 & C4ISR,MCO / MRO · intégration de systèmes,MCO / MRO · Intégration de systèmes,"Sécurité civile, Export / international",cloud · robotique / autonomie · IA / vision · edge computing · RF / micro-ondes,Cloud & cloud souverain · Robotique & autonomie · IA / machine learning · Edge computing & GPU embarqué · Communications RF / micro-ondes,Prestataire potentiel de MCO / MRO pour sécurité civile — partenaire pour les marchés publics et industriels associés.,80,medium
48,adwäisEO,Luxembourg,https://adwaiseo.eu/en/,,"Édite des solutions de traitement et fusion de données satellitaires pour la défense, le climat et la planification urbaine.",Tier 1,plateforme adwäisEO · outils de fusion d'images satellitaires,Plateformes IA / vision défense · Logiciels métier défense (autres),développement sur-mesure · intégration géospatiale,Intégration de systèmes,"MoD / Armées, Sécurité civile",imagerie satellite · IA / vision,IA / machine learning,Niche luxembourgeoise sur traitement d'images satellite — partenaire pour services de renseignement géospatial.,80,manual
