account_name,country,priority_level,lead_score,target_type,buying_need_main,ideal_seller_profile,recommended_sales_angle,short_pitch,website_url,linkedin_company_url,lead_status,next_best_action,notes
8Devices,Lituanie,A,78.0,Acheteur potentiel,Energy / batteries,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.","UAV builds need batteries, motors, optronics, RF links and composites. Map their bill of materials with the supply chain lead.","Hi — I noticed 8Devices builds UAV / drones, Software / Platforms (+4) for UAV / drones.",http://8devices.com/,https://lt.linkedin.com/company/8devices,New,Contact sales team and qualify need,
A.C.S.A. STEEL FORGINGS,Italie,C,57.9,Fournisseur potentiel,Cloud / data services,Activité à qualifier — discovery call avant pitch précis.,Public data is thin — qualify the activity before pitching supply.,Hi — I noticed A.C.S.A.,http://acsa.it/en/,https://www.linkedin.com/company/a-c-s-a-steel-forgings-s-p-a/mycompany/?viewAsMember=true,New,Keep in watchlist,
A2V SAS,France,A,77.0,Acheteur potentiel,Electronic components,"Capteurs, payloads optroniques, communications pour plateformes ISR.","ISR platforms aggregate sensors, comms and AI. Map A2V SAS's integration partners.","Hi — I noticed A2V SAS builds Robotics / UGV, Logistics equipment (+6) for Intelligence / ISR.",https://a2v.fr/,https://www.linkedin.com/company/a2v/,New,Contact sales team and qualify need,
AADS,Gibraltar,D,37.6,Distributeur potentiel,Industrial subcontracting / machining,Canal de distribution / représentation pour notre portefeuille.,Mutual distribution alignment — pitch a portfolio swap or co-marketing.,Hi — we're scouting an exclusive distributor for your region.,http://www.aads-gib.com/,https://www.linkedin.com/company/africaautomotivedistributionservices,New,No immediate action,
AAE - Advanced Armour Engineering,Émirats arabes unis,B,72.0,Acheteur potentiel,Engines / propulsion,"Sous-systèmes, composites, certification pour primes terrestres.",Land defense primes integrate huge supply chains. Procurement is the buyer.,"Hi — I noticed AAE - Advanced Armour Engineering builds Vehicles, Ballistic protection (+6) for Land defense.",http://www.armoureng.com/,https://www.linkedin.com/company/advanced-armour-engineering/,New,Review website and validate opportunity,
Aage Christensen Defence,Danemark,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,,,New,No immediate action,
Aalberts Surface Technologies,France,A,80.5,Acheteur potentiel,Engines / propulsion,"Amplis RF, processeurs signal, embarqué, antennes pour EW.","EW systems source RF amplifiers, signal-processing chips, embedded computing and antennas. Talk to RF system lead.","Hi — I noticed Aalberts Surface Technologies builds Vehicles, Electronic components (+9) for Electronic warfare.",https://www.aalberts-st.com/,https://www.linkedin.com/company/aalberts-surface-treatment-gmbh/?lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_all%3BZyHZAJL6R%2Be0Vv03w7BGTg%3D%3D,New,Contact sales team and qualify need,
Aalborg University,Danemark,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,,,New,No immediate action,
Aaronia AG,Allemagne,D,18.6,À vérifier,Industrial subcontracting / machining,Qualifier l'activité avant tout pitch ciblé.,"Public sources too thin — discovery call first, focused pitch second.",Hi — I noticed Aaronia AG at Eurosatory.,http://www.aaronia.de/,,New,No immediate action,
AART ELECTRONICS,France,B,66.4,Acheteur potentiel,Engines / propulsion,"Moteurs, composites, plaques balistiques, optronique, comms pour OEM blindés.","Armored vehicle OEMs buy engines, composites, ballistic plates, optronics, comms and specialised mechanics in volume.","Hi — I noticed AART ELECTRONICS builds Vehicles, Logistics equipment for Armored vehicles.",https://www.aart-electronics.com/,,New,Review website and validate opportunity,
AB Giraites Ginkluotes Gamykla (GGG),Lituanie,B,68.4,Acheteur potentiel,Energetic materials,"Matériaux énergétiques, mécanique, packaging, certification.","Ammunition makers buy energetic materials, mechanical parts, packaging and certification services.",Hi — I noticed AB Giraites Ginkluotes Gamykla (GGG) builds Ammunition for Ammunition.,http://www.ggg-ammo.lt/,https://www.linkedin.com/company/ab-giraites-ginkluotes-gamykla/,New,Review website and validate opportunity,
ABIMDE,Brésil,D,17.6,À vérifier,Industrial subcontracting / machining,Qualifier l'activité avant tout pitch ciblé.,"Public sources too thin — discovery call first, focused pitch second.",Hi — I noticed ABIMDE at Eurosatory.,https://abimde.org.br/pt-br/,https://www.linkedin.com/company/abimde/?originalSubdomain=br,New,No immediate action,
ABMI,France,B,66.4,Acheteur potentiel,Mechanical parts,"Outils CAD, simulation, certification pour bureau d'études.","Engineering shops buy CAD licences, simulation tools and certification services.",Hi — I noticed ABMI builds Logistics equipment for Engineering services.,http://abmi-groupe.com/,https://www.linkedin.com/company/abmi-engineering/,New,Review website and validate opportunity,
ABRIS Design Group,Pologne,A,75.0,Acheteur potentiel,Engines / propulsion,"Capteurs, payloads optroniques, communications pour plateformes ISR.","ISR platforms aggregate sensors, comms and AI. Map ABRIS Design Group's integration partners.","Hi — I noticed ABRIS Design Group builds Vehicles, UAV / drones (+10) for Intelligence / ISR.",https://abris-dg.com/,https://www.linkedin.com/company/abrisdesigngroup/posts/?feedView=all,New,Contact sales team and qualify need,
Accurate Nordic,Suède,D,19.6,À vérifier,Industrial subcontracting / machining,Qualifier l'activité avant tout pitch ciblé.,"Public sources too thin — discovery call first, focused pitch second.",Hi — I noticed Accurate Nordic at Eurosatory.,http://www.accuratenordic.com/,,New,No immediate action,
ACCURISION GMBH,Autriche,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,,,New,No immediate action,
ACCUWATT TECHNOLOGIES,France,B,72.0,Acheteur potentiel,Energy / batteries,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.","UAV builds need batteries, motors, optronics, RF links and composites. Map their bill of materials with the supply chain lead.","Hi — I noticed ACCUWATT TECHNOLOGIES builds UAV / drones, Sensors (+3) for UAV / drones.",https://www.accuwatt-technologies.com/,https://www.linkedin.com/company/accuwatt-technologies-france,New,Review website and validate opportunity,
ACGB – OTS,France,B,70.5,Acheteur potentiel,Engines / propulsion,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.","Radar / sensor lines need specialised electronics, signal processing chips and composite housings. Talk to chief engineer.","Hi — I noticed ACGB – OTS builds Vehicles, Sensors for Radar / sensors.",https://www.acgb.com/,https://www.linkedin.com/company/635770/,New,Review website and validate opportunity,
ACOME GROUP,France,A,76.5,Acheteur potentiel,RF / microwave components,"Capteurs, payloads optroniques, communications pour plateformes ISR.","ISR platforms aggregate sensors, comms and AI. Map ACOME GROUP's integration partners.","Hi — I noticed ACOME GROUP builds Communications networks, Engines / propulsion (+4) for Intelligence / ISR.",http://www.acome.com/fr,https://www.linkedin.com/company/acome/,New,Contact sales team and qualify need,
ACS Armoured Car Systems,Allemagne,C,50.0,Acheteur potentiel,Engines / propulsion,"Vend des sous-systèmes / composants à un OEM construisant Vehicles, Ballistic protection.",ACS Armoured Car Systems sells armour — they need composites and certified test-houses. Procurement is the buyer.,"Hi — ACS Armoured Car Systems ships Vehicles, Ballistic protection to defense customers.",http://www.acs-armoured-cars.com/,https://www.linkedin.com/company/acs-armoured-car-systems-gmbh,New,Keep in watchlist,
Actemium Bonnétage Automation (AC Automation),France,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,http://acautomation.fr/,,New,No immediate action,
Actemium Maintenance Auxerre,France,A,80.0,Acheteur potentiel,Energy / batteries,"Capteurs, payloads optroniques, communications pour plateformes ISR.","ISR platforms aggregate sensors, comms and AI. Map Actemium Maintenance Auxerre's integration partners.","Hi — I noticed Actemium Maintenance Auxerre builds UAV / drones, Software / Platforms (+4) for Intelligence / ISR.",https://www.actemium.fr/implantations/actemium-maintenance-auxerre,https://www.linkedin.com/company/actemium-france,New,Contact sales team and qualify need,
ACTIA AEROSPACE,France,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,https://aerospace.actia.com/,,New,No immediate action,
ACTinBlack Europe SARL,Luxembourg,B,65.3,Acheteur potentiel,Electronic components,"Textiles, composites, optronique, énergie pour kits soldat.","Soldier system vendors source textiles, composites, optronics and energy. Lead with NATO / military pedigree.","Hi — I noticed ACTinBlack Europe SARL builds Optronics / Optics, Soldier equipment (+1) for Soldier systems.",http://www.actinblack.com/,,New,Review website and validate opportunity,
ADDEV Materials,France,A,77.0,Acheteur potentiel,Electronic components,"Composites, capteurs, comms, lancement pour primes spatiaux.","Space primes source composites, sensors, comms and launch services.","Hi — I noticed ADDEV Materials builds Sensors, Logistics equipment (+3) for Space / satellite.",http://addevmaterials.com/,https://www.linkedin.com/company/addevmaterials-aerospace/,New,Contact sales team and qualify need,
ADDITESS,Cyprus,A,82.0,Acheteur potentiel,Energy / batteries,"Capteurs, payloads optroniques, communications pour plateformes ISR.","ISR platforms aggregate sensors, comms and AI. Map ADDITESS's integration partners.","Hi — I noticed ADDITESS builds UAV / drones, Software / Platforms (+9) for Intelligence / ISR.",https://additess.com/,https://www.linkedin.com/company/4872752/admin/feed/posts/,New,Contact sales team and qualify need,
ADDUP,France,D,14.6,À vérifier,Industrial subcontracting / machining,Qualifier l'activité avant tout pitch ciblé.,"Public sources too thin — discovery call first, focused pitch second.",Hi — I noticed ADDUP at Eurosatory.,https://addupsolutions.com/fr/,https://www.linkedin.com/company/addup/,New,No immediate action,
ADNEC - UAE National Pavilion,Émirats arabes unis,A,81.0,Acheteur potentiel,Engines / propulsion,"Vend des sous-systèmes / composants à un OEM construisant Vehicles, Communications networks.",ADNEC - UAE National Pavilion's ISR offer needs sensor primes and data-fusion suppliers. Engineering / programme is the buyer.,"Hi — ADNEC - UAE National Pavilion ships Vehicles, Communications networks (+7) to Defense ministries, Aerospace primes.",http://www.adnecgroup.ae/,https://www.linkedin.com/company/adnecgroup/,New,Contact sales team and qualify need,
ADR,France,A,76.0,Acheteur potentiel,RF / microwave components,"Textiles, composites, optronique, énergie pour kits soldat.","Soldier system vendors source textiles, composites, optronics and energy. Lead with NATO / military pedigree.","Hi — I noticed ADR builds Communications networks, Sensors (+6) for Soldier systems.",http://adr-alcen.com/,https://fr.linkedin.com/company/adr-alcen,New,Contact sales team and qualify need,
ADS Group Limited,Royaume-Uni,A,84.5,Acheteur potentiel,Cloud / data services,"Threat intel, hardware appliances, cloud souverain, audits.","Cyber-defense vendors source threat intel feeds, hardware appliances, cloud and certification services. Procurement / CISO are entry points.","Hi — I noticed ADS Group Limited builds Cybersecurity solutions, Communications networks (+5) for Cybersecurity.",http://www.adsgroup.org.uk/,https://www.linkedin.com/company/ads-group-ltd/,New,Contact sales team and qualify need,
ADV Defense,Lituanie,B,69.5,Acheteur potentiel,Energy / batteries,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.","UAV builds need batteries, motors, optronics, RF links and composites. Map their bill of materials with the supply chain lead.","Hi — I noticed ADV Defense builds UAV / drones, Software / Platforms (+4) for UAV / drones.",http://www.advdefense.lt/,,New,Review website and validate opportunity,
ADVANCED DESIGN SOLUTION S.R.O.,République tchèque,B,70.6,Acheteur potentiel,Engines / propulsion,"Moteurs, composites, plaques balistiques, optronique, comms pour OEM blindés.","Armored vehicle OEMs buy engines, composites, ballistic plates, optronics, comms and specialised mechanics in volume.",Hi — I noticed ADVANCED DESIGN SOLUTION S.R.O.,http://www.ads-cz.com/,,New,Review website and validate opportunity,
ADVANTAGE AUSTRIA,Autriche,A,82.0,Acheteur potentiel,RF / microwave components,"Radars, sonars, comms, armement, sustainment pour primes navals.","Naval primes buy radars, sonars, comms, weapons and sustainment in long cycles.","Hi — I noticed ADVANTAGE AUSTRIA builds Communications networks, Software / Platforms (+5) for Naval defense.",http://www.advantageaustria.org/,https://at.linkedin.com/company/advantageaustria,New,Contact sales team and qualify need,
ADVANTECH,France,A,85.0,Acheteur potentiel,Engines / propulsion,"Threat intel, hardware appliances, cloud souverain, audits.","Cyber-defense vendors source threat intel feeds, hardware appliances, cloud and certification services. Procurement / CISO are entry points.","Hi — I noticed ADVANTECH builds Vehicles, Sensors (+8) for Cybersecurity.",http://www.advantech.com/en-eu,https://www.linkedin.com/company/advantech-europe/,New,Contact sales team and qualify need,
Advent Atum Pty Ltd,Australie,A,82.0,Acheteur potentiel,Energy / batteries,"Capteurs, payloads optroniques, communications pour plateformes ISR.","ISR platforms aggregate sensors, comms and AI. Map Advent Atum Pty Ltd's integration partners.","Hi — I noticed Advent Atum Pty Ltd builds UAV / drones, Software / Platforms (+10) for Intelligence / ISR.",http://adventatum.com/,https://au.linkedin.com/company/adventatum,New,Contact sales team and qualify need,
adwäisEO,Luxembourg,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,https://adwaiseo.eu/en/,,New,No immediate action,
AEC Skyline,Pays-Bas,A,81.5,Acheteur potentiel,Energy / batteries,"Capteurs, payloads optroniques, communications pour plateformes ISR.","ISR platforms aggregate sensors, comms and AI. Map AEC Skyline's integration partners.","Hi — I noticed AEC Skyline builds UAV / drones, Sensors (+16) for Intelligence / ISR.",http://www.aec-skyline.com/,https://www.linkedin.com/company/aec-skyline/,New,Contact sales team and qualify need,
Aedus Space Ltd.,Hongrie,D,16.6,À vérifier,Industrial subcontracting / machining,Qualifier l'activité avant tout pitch ciblé.,"Public sources too thin — discovery call first, focused pitch second.",Hi — I noticed Aedus Space Ltd.,https://aedusspace.com/aedusspace.html,,New,No immediate action,
Aeffe srl Keelcrab,Italie,A,83.0,Acheteur potentiel,Energy / batteries,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.","UAV builds need batteries, motors, optronics, RF links and composites. Map their bill of materials with the supply chain lead.","Hi — I noticed Aeffe srl Keelcrab builds UAV / drones, Robotics / UGV (+7) for UAV / drones.",https://www.keelcrab.com/,https://www.linkedin.com/company/15155176/admin/dashboard/,New,Contact sales team and qualify need,
AERIADES,France,B,69.2,Sous-traitant,Mechanical parts,"Pièces de rechange, calibration, certification pour acteurs MRO.","MRO providers source spare parts, calibration tools and certification services. Procurement is the buyer.","Hi — I noticed AERIADES builds Logistics equipment, Communications networks for Logistics / MRO.",http://aeriades.fr/,,New,Review website and validate opportunity,
AERIX SYSTEMS,France,C,56.1,Acheteur potentiel,Energy / batteries,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.","Radar / sensor lines need specialised electronics, signal processing chips and composite housings. Talk to chief engineer.","Hi — I noticed AERIX SYSTEMS builds UAV / drones, Radars (+3) for Radar / sensors.",https://www.aerix-systems.com/,https://fr.linkedin.com/company/aerix-systems,New,Keep in watchlist,
AERO CONCEPT ENGINEERING,France,B,71.5,Acheteur potentiel,Engines / propulsion,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.","UAV builds need batteries, motors, optronics, RF links and composites. Map their bill of materials with the supply chain lead.","Hi — I noticed AERO CONCEPT ENGINEERING builds Vehicles, UAV / drones (+5) for UAV / drones.",https://www.aero-ce.com/,https://www.linkedin.com/company/aero-concept-engineering/,New,Review website and validate opportunity,
AEROCENTRE,France,B,63.5,Acheteur potentiel,Mechanical parts,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.","UAV builds need batteries, motors, optronics, RF links and composites. Map their bill of materials with the supply chain lead.","Hi — I noticed AEROCENTRE builds Logistics equipment, Engines / propulsion (+3) for UAV / drones.",https://aero-centre.fr/,https://www.linkedin.com/company/aerocentre/,New,Review website and validate opportunity,
AEROGLOW INTERNATIONAL,Royaume-Uni,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,https://www.aeroglowinternational.com/,,New,No immediate action,
Aeron Systems Pvt Ltd,Inde,B,74.5,Acheteur potentiel,Engines / propulsion,"Sous-systèmes, composites, certification pour primes terrestres.",Land defense primes integrate huge supply chains. Procurement is the buyer.,"Hi — I noticed Aeron Systems Pvt Ltd builds Vehicles, UAV / drones (+4) for Land defense.",https://aeronsystems.com/,https://www.linkedin.com/company/aeron-systems-pvt.-ltd./about/,New,Review website and validate opportunity,
AERONAUTICS GROUP,Israël,C,46.8,Acheteur potentiel,Energy / batteries,Sub-system / payload pour OEM drones tactiques.,UAV programs are scaling — AERONAUTICS GROUP is buying. Position [your sub-system] as a qualified alternative on their next platform.,Hi — AERONAUTICS GROUP ships UAV / drones to defense customers.,http://www.aeronautics-sys.com/,https://www.linkedin.com/company/aeronautics/,New,Keep in watchlist,
AEROSPACE & DEFENCE,France,B,69.0,Acheteur potentiel,Composite materials,"Composites, capteurs, comms, lancement pour primes spatiaux.","Space primes source composites, sensors, comms and launch services.","Hi — I noticed AEROSPACE & DEFENCE builds Satellites / Space, Engines / propulsion (+7) for Space / satellite.",https://www.acmh.fr/,,New,Review website and validate opportunity,
AEROVIRONMENT (AV),États-Unis,B,71.5,Acheteur potentiel,Energy / batteries,"Capteurs, payloads optroniques, communications pour plateformes ISR.","ISR platforms aggregate sensors, comms and AI. Map AEROVIRONMENT (AV)'s integration partners.","Hi — I noticed AEROVIRONMENT (AV) builds UAV / drones, Counter-UAV systems (+12) for Intelligence / ISR.",http://www.avinc.com/,https://www.linkedin.com/company/aerovironment/,New,Review website and validate opportunity,
AERTEC,Espagne,B,68.0,Acheteur potentiel,Energy / batteries,"Fournisseur de batteries, moteurs, optronique, RF, composites pour fabricants UAV.","UAV builds need batteries, motors, optronics, RF links and composites. Map their bill of materials with the supply chain lead.","Hi — I noticed AERTEC builds UAV / drones, Sensors (+2) for UAV / drones.",https://www.aertecsolutions.com/,https://es.linkedin.com/company/aertec,New,Review website and validate opportunity,
Africa Global Logistics,France,B,74.5,Acheteur potentiel,RF / microwave components,"Moteurs, composites, plaques balistiques, optronique, comms pour OEM blindés.","Armored vehicle OEMs buy engines, composites, ballistic plates, optronics, comms and specialised mechanics in volume.","Hi — I noticed Africa Global Logistics builds Communications networks, Naval systems (+3) for Armored vehicles.",https://www.aglgroup.com/,https://www.linkedin.com/company/africagloballogistics/,New,Review website and validate opportunity,
AFRY,Suède,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,,,New,No immediate action,
AG Optics,Corée du Sud,B,66.0,Fournisseur potentiel,Electronic components,"Front-ends RF, processeurs, mécanique de précision pour fabricants radars.","Radar / sensor lines need specialised electronics, signal processing chips and composite housings. Talk to chief engineer.","Hi — I noticed AG Optics builds Optronics / Optics, Sensors for Radar / sensors.",https://www.agoptics.co.kr/en,,New,Review website and validate opportunity,
AGC Plasma Technology Solutions,Belgique,B,73.5,Acheteur potentiel,"Materials (Li-ion, electrolytes)","Textiles, composites, optronique, énergie pour kits soldat.","Soldier system vendors source textiles, composites, optronics and energy. Lead with NATO / military pedigree.","Hi — I noticed AGC Plasma Technology Solutions builds Energy / batteries, Communications networks (+4) for Soldier systems.",http://www.agc-plasma.com/,https://www.linkedin.com/showcase/agc-plasma-technology-solutions/?viewAsMember=true,New,Review website and validate opportunity,
Agence Wallonne à l'Exportation et aux I.E.,Belgique,D,19.6,À vérifier,Industrial subcontracting / machining,Qualifier l'activité avant tout pitch ciblé.,"Public sources too thin — discovery call first, focused pitch second.",Hi — I noticed Agence Wallonne à l'Exportation et aux I.E.,https://www.awex.be/,https://www.linkedin.com/company/wallonia-export-investment-agency/,New,No immediate action,
AGENCIJA ALAN,Croatie,A,84.0,Acheteur potentiel,Engines / propulsion,"Sous-systèmes, composites, certification pour primes terrestres.",Land defense primes integrate huge supply chains. Procurement is the buyer.,"Hi — I noticed AGENCIJA ALAN builds Vehicles, UAV / drones (+8) for Land defense.",https://www.aalan.hr/,https://hr.linkedin.com/company/agencija-alan-d.o.o.,New,Contact sales team and qualify need,
AGM GLOBAL VISION,Bulgarie,A,83.5,Acheteur potentiel,Electronic components,"Textiles, composites, optronique, énergie pour kits soldat.","Soldier system vendors source textiles, composites, optronics and energy. Lead with NATO / military pedigree.","Hi — I noticed AGM GLOBAL VISION builds Sensors, Optronics / Optics (+5) for Soldier systems.",http://www.agmglobalvision.eu/,,New,Contact sales team and qualify need,
AGM ORTHOPAEDICS LLC,Lettonie,B,70.5,Acheteur potentiel,Cloud / data services,"Vend des sous-systèmes / composants à un OEM construisant Software / Platforms, Soldier equipment.",EW upgrades are a current priority for armed forces — AGM ORTHOPAEDICS LLC buys components and certification. Procurement is the entry point.,"Hi — AGM ORTHOPAEDICS LLC ships Software / Platforms, Soldier equipment (+5) to Border / customs.",http://www.trust-tq.com/,https://www.linkedin.com/company/agm-orthopaedics-trust-tq/,New,Review website and validate opportunity,
AGON ELECTRONICS,France,B,61.3,Fournisseur potentiel,Mechanical parts,"Matières premières, outils coupants, services qualité pour sous-traitants.","Sub-contractors buy raw materials, cutting tools and quality services.","Hi — I noticed AGON ELECTRONICS builds Logistics equipment, Embedded systems (+2) for Industrial subcontracting.",http://www.agon-electronics.com/,https://www.linkedin.com/company/ag%C3%B4n-electronics/,New,Review website and validate opportunity,
AGORAMECA,France,B,60.7,Fournisseur potentiel,"Raw materials (steel, aluminium)","Matières premières, outils coupants, services qualité pour sous-traitants.","Sub-contractors buy raw materials, cutting tools and quality services.",Hi — I noticed AGORAMECA builds Mechanical parts for Industrial subcontracting.,https://www.agorameca.com/,,New,Review website and validate opportunity,
AGORIA VZW/ASBL,Belgique,D,18.6,À vérifier,Industrial subcontracting / machining,Qualifier l'activité avant tout pitch ciblé.,"Public sources too thin — discovery call first, focused pitch second.",Hi — I noticed AGORIA VZW/ASBL at Eurosatory.,https://www.agoria.be/en/themes/businessgroups/safety-security-defence/belgian-security-defence-industry-defence-technologies-bsdidt/belgian-security-defence-industry-bsdi,https://www.linkedin.com/company/agoria,New,No immediate action,
AGP S GLASS EUROPE GMBH,Allemagne,B,70.0,Acheteur potentiel,Engines / propulsion,"Vend des sous-systèmes / composants à un OEM construisant Vehicles, Engines / propulsion.",AGP S GLASS EUROPE GMBH buys for next-gen platforms — engineering and supply chain are the buyers.,"Hi — AGP S GLASS EUROPE GMBH ships Vehicles, Engines / propulsion to Police / law enforcement.",http://www.agpglass.com/,,New,Review website and validate opportunity,
AI Verse,France,A,75.5,Acheteur potentiel,Engines / propulsion,"Capteurs, payloads optroniques, communications pour plateformes ISR.","ISR platforms aggregate sensors, comms and AI. Map AI Verse's integration partners.","Hi — I noticed AI Verse builds Vehicles, UAV / drones (+6) for Intelligence / ISR.",http://www.ai-verse.com/,https://www.linkedin.com/company/ai-verse/,New,Contact sales team and qualify need,
AIAD & M.O.D ITALIAN INDUSTRIES,Italie,C,50.1,Acheteur potentiel,RF / microwave components,"Vend des sous-systèmes / composants à un OEM construisant Communications networks, Software / Platforms.",AIAD & M.O.D ITALIAN INDUSTRIES adapts civil tech for defense — they need MIL-grade sub-suppliers.,"Hi — AIAD & M.O.D ITALIAN INDUSTRIES ships Communications networks, Software / Platforms to Aerospace primes.",http://www.aiad.it/,https://www.linkedin.com/company/aiad-federazione-aziende-italiane-aerospazio-difesa-sicurezza/about/,New,Keep in watchlist,
AICOX SOLUCIONES,Espagne,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,https://www.aicox.com/,,New,No immediate action,
AIM Infrarot-Module,Allemagne,B,68.0,Acheteur potentiel,Composite materials,Vend des sous-systèmes / composants à un OEM construisant Satellites / Space.,AIM Infrarot-Module builds space hardware — they need certified components and test services.,Hi — AIM Infrarot-Module ships Satellites / Space to Aerospace primes.,https://www.aim-ir.com/,,New,Review website and validate opportunity,
Aimpoint AB,Suède,D,,À vérifier,To enrich,Qualifier l'activité avant tout pitch ciblé.,To enrich,To enrich,http://www.aimpoint.com/,,New,No immediate action,
